Title,20年IF,21年IF,即时IF,桑格预测IF,JCR分区,中科院分区,警告信息
FORESTIST,-,-,0.2,N/A,,,
FOREST SYSTEMS,1.255,1.411,0.37,1.08,Q3,农林科学-4区,
FOREST SCIENCE AND TECHNOLOGY,-,-,0.98,N/A,,,
FOREST SCIENCE,1.664,1.742,0.8,1.95,Q3,农林科学-4区,
FOREST PRODUCTS JOURNAL,0.968,0.904,0.48,0.84,Q4,农林科学-4区,
FOREST POLICY AND ECONOMICS,3.673,4.259,2.18,3.84,Q2,农林科学-2区,
FOREST PATHOLOGY,1.363,1.437,0.72,>1.80,Q3,农林科学-4区,
FOREST ECOSYSTEMS,3.645,4.274,2.41,>5.34,Q1,农林科学-1区,
FOREST ECOLOGY AND MANAGEMENT,3.558,4.384,1.86,4.51,Q1,农林科学-2区,
FOREST AND SOCIETY,-,-,1.09,N/A,,,
FORESIGHT AND STI GOVERNANCE,-,-,0.54,N/A,,,
FORESIGHT,-,-,1.1,N/A,,,
FORENSISCHE PSYCHIATRIE PSYCHOLOGIE KRIMINOLOGIE,-,-,0.42,N/A,,,
FORENSIC TOXICOLOGY,4.096,2.541,1.06,<1.91,Q4,医学-3区,
FORENSIC SCIENCES RESEARCH,-,-,0.58,N/A,,,
FORENSIC SCIENCE MEDICINE AND PATHOLOGY,2.007,2.456,0.81,2.11,Q3,医学-4区,
FORENSIC SCIENCE INTERNATIONAL-GENETICS,4.882,4.453,1.65,<3.34,Q2,医学-2区,华南理工大学-2020
FORENSIC SCIENCE INTERNATIONAL-DIGITAL INVESTIGATION,-,1.805,0.98,N/A,Q4,医学-3区,
FORENSIC SCIENCE INTERNATIONAL,2.395,2.676,1.12,2.02,Q2,医学-3区,
FORENSIC IMAGING,-,-,0.48,N/A,,,
FORENSIC CHEMISTRY,2.676,3.096,1.47,3.48,Q3,化学-2区,
FOREIGN TRADE REVIEW,-,-,0.77,N/A,,,
FOREIGN POLICY ANALYSIS,1.776,2.646,1.04,3.14,Q2,法学-3区,
FOREIGN LANGUAGE ANNALS,2.067,2.976,1.53,>3.72,Q2,人文科学-3区,
FOREIGN AFFAIRS,4.791,5.486,0.93,4.9,Q1,法学-3区,
FORECASTING,-,-,1.81,N/A,,,
FORDHAM LAW REVIEW,0.982,1.156,0.34,<0.87,Q3,法学-3区,
FOOTWEAR SCIENCE,-,-,0.89,N/A,,,
FOOT AND ANKLE SURGERY,2.705,2.84,1.18,2.68,Q2,医学-3区,
FOOT AND ANKLE CLINICS,1.653,2.03,0.6,>2.54,Q3,医学-3区,
FOOT & ANKLE INTERNATIONAL,1.653,2.03,1.45,>2.54,Q3,医学-2区,
FOODS AND RAW MATERIALS,-,-,0.51,N/A,,,
FOODS,4.35,5.561,2.6,>6.95,Q1,农林科学-2区,
FOODBORNE PATHOGENS AND DISEASE,3.171,3.788,1.05,2.92,Q2,农林科学-3区,
FOOD WEBS,-,-,0.91,N/A,Q3,,
FOOD TECHNOLOGY AND BIOTECHNOLOGY,3.918,2.33,1.28,2.76,Q4,农林科学-3区,
FOOD TECHNOLOGY,0.367,0.311,0.03,<0.23,Q4,农林科学-4区,
FOOD STRUCTURE-NETHERLANDS,-,4.551,1.8,5.04,Q2,农林科学-3区,
FOOD SECURITY,3.304,7.141,3.43,>8.93,Q1,农林科学-2区,
FOOD SCIENCE OF ANIMAL RESOURCES,2.471,3.135,1.37,3.13,Q3,农林科学-3区,
FOOD SCIENCE AND TECHNOLOGY RESEARCH,0.668,0.78,0.25,0.84,Q4,农林科学-4区,
FOOD SCIENCE AND TECHNOLOGY INTERNATIONAL,2.023,2.638,1.16,>3.30,Q3,农林科学-4区,
FOOD SCIENCE AND TECHNOLOGY,1.718,2.602,2.07,>3.25,Q3,农林科学-4区,
FOOD SCIENCE AND HUMAN WELLNESS,-,-,3.45,N/A,Q1,农林科学-2区,
FOOD SCIENCE AND BIOTECHNOLOGY,2.391,3.231,1.34,3.56,Q2,农林科学-3区,
FOOD SCIENCE & NUTRITION,2.863,3.553,4.59,>4.44,Q2,农林科学-3区,
FOOD REVIEWS INTERNATIONAL,6.478,6.043,2.78,>7.55,Q1,农林科学-2区,
FOOD RESEARCH INTERNATIONAL,6.475,7.425,4.03,>9.28,Q1,农林科学-1区,
FOOD QUALITY AND SAFETY,3.102,3.949,2.77,>4.94,Q2,农林科学-2区,
FOOD QUALITY AND PREFERENCE,5.565,6.345,2.71,5.85,Q1,农林科学-1区,
FOOD POLICY,4.552,6.08,2.96,>7.60,Q1,农林科学-1区,
FOOD PACKAGING AND SHELF LIFE,6.429,8.749,4.67,>10.94,Q1,农林科学-2区,
FOOD MICROBIOLOGY,5.516,6.374,3,5.79,Q1,农林科学-1区,
FOOD HYGIENE AND SAFETY SCIENCE,0.464,0.388,0.16,<0.29,Q4,农林科学-4区,
FOOD HYDROCOLLOIDS,9.147,11.504,5.25,12.17,Q1,农林科学-1区,
FOOD ENGINEERING REVIEWS,5.758,6.738,3.35,>8.42,Q1,农林科学-2区,
FOOD CULTURE & SOCIETY,1.13,1.649,0.41,1.52,Q3,法学-4区,
FOOD CONTROL,5.548,6.652,2.97,6.79,Q1,农林科学-1区,
FOOD CHEMISTRY-X,5.182,6.443,2.78,5.82,Q1,农林科学-1区,
FOOD CHEMISTRY,7.514,9.231,4.38,9.82,Q1,农林科学-1区,
FOOD BIOTECHNOLOGY,1.564,2.297,1.14,>2.87,Q4,农林科学-4区,
FOOD BIOSCIENCE,4.24,5.318,2.45,>6.65,Q2,农林科学-2区,
FOOD BIOPHYSICS,3.114,3.34,1.6,>4.17,Q2,农林科学-3区,
FOOD AND WATERBORNE PARASITOLOGY,-,-,1.18,N/A,,,
FOOD AND NUTRITION BULLETIN,2.069,2.244,0.97,>2.81,Q4,医学-4区,
FOOD AND FOODWAYS,-,-,0.5,N/A,,,
FOOD AND ENVIRONMENTAL VIROLOGY,2.778,4.034,1.92,5,Q3,医学-3区,
FOOD AND ENERGY SECURITY,4.109,4.667,2.45,>5.83,Q2,农林科学-2区,
FOOD AND DRUG LAW JOURNAL,0.619,0.442,0.03,<0.33,Q4,医学-4区,
FOOD AND CHEMICAL TOXICOLOGY,6.025,5.572,2.25,4.84,Q1,医学-2区,
FOOD AND BIOPRODUCTS PROCESSING,4.481,5.105,2.37,>6.38,Q2,农林科学-2区,
FOOD AND BIOPROCESS TECHNOLOGY,4.465,5.581,2.79,>6.98,Q1,农林科学-2区,
FOOD AND AGRICULTURAL IMMUNOLOGY,3.101,3.268,1.78,3.02,Q4,农林科学-3区,
FOOD ANALYTICAL METHODS,3.366,3.498,1.45,3.24,Q2,农林科学-2区,
FOOD ADDITIVES AND CONTAMINANTS PART A-CHEMISTRY ANALYSIS CONTROL EXPOSURE & RISK ASSESSMENT,3.057,3.549,1.54,3.43,Q3,农林科学-3区,
FOOD ADDITIVES & CONTAMINANTS PART B-SURVEILLANCE,-,-,1.69,N/A,Q2,农林科学-3区,
FOOD & NUTRITION RESEARCH,-,-,1.74,N/A,Q3,农林科学-3区,
FOOD & FUNCTION,-,-,3.01,N/A,Q3,医学-2区,
FONTES ARTIS MUSICAE,-,-,N/A,N/A,,,
FONSECA-JOURNAL OF COMMUNICATION,-,-,0.11,N/A,,,
FOLKLORE-ELECTRONIC JOURNAL OF FOLKLORE,-,-,0.03,N/A,,,
FOLKLORE,-,-,0.14,N/A,,,
FOLK MUSIC JOURNAL,-,-,0.2,N/A,,,
FOLK LIFE-JOURNAL OF ETHNOLOGICAL STUDIES,-,-,0.28,N/A,,,
FOLIA ZOOLOGICA,1.06,1.542,0.46,N/A,Q2,,
FOLIA PRIMATOLOGICA,1.246,1.38,0.93,>1.72,Q3,生物学-4区,
FOLIA PHONIATRICA ET LOGOPAEDICA,0.849,1.391,0.49,1.47,Q4,医学-4区,
FOLIA PARASITOLOGICA,2.122,1.614,0.78,1.55,Q3,医学-3区,
FOLIA OECOLOGICA,-,-,0.65,N/A,,,
FOLIA NEUROPATHOLOGICA,2.038,2.494,0.93,2.34,Q4,医学-4区,
FOLIA MORPHOLOGICA,1.183,1.195,0.55,0.97,Q4,医学-4区,
FOLIA MICROBIOLOGICA,2.099,2.629,1.34,3.27,Q4,生物学-4区,
FOLIA LINGUISTICA ET LITTERARIA,-,-,0.02,N/A,,,
FOLIA LINGUISTICA,0.426,0.613,0.35,0.74,Q4,人文科学-4区,
FOLIA HORTICULTURAE,1.873,1.934,1,>2.42,Q2,农林科学-4区,
FOLIA HISTOCHEMICA ET CYTOBIOLOGICA,1.698,1.49,0.75,1.27,Q4,生物学-4区,
FOLIA GEOGRAPHICA,-,-,0.28,N/A,,,
FOLIA GEOBOTANICA,1.544,1.721,0.71,1.81,Q3,生物学-4区,
FOLIA BIOLOGICA-KRAKOW,0.432,0.714,0.42,>0.89,Q4,生物学-4区,
FOLIA BIOLOGICA,0.906,1.167,0.3,<0.88,Q4,医学-4区,
FOCUS ON HEALTH PROFESSIONAL EDUCATION-A MULTIDISCIPLINARY JOURNAL,-,-,0.38,N/A,,,
FOCUS ON AUTISM AND OTHER DEVELOPMENTAL DISABILITIES,3.042,2.434,1,2.36,Q3,医学-3区,
FOCAAL-JOURNAL OF GLOBAL AND HISTORICAL ANTHROPOLOGY,1.319,1.447,0.45,<1.09,Q2,法学-4区,
FME TRANSACTIONS,-,-,0.93,N/A,,,
FLY,2.16,1.143,0.54,>1.43,Q4,生物学-4区,
FLUORIDE,1.224,0.725,0.43,0.7,Q4,医学-4区,
FLUMINENSIA,-,-,0.06,N/A,,,
FLUIDS AND BARRIERS OF THE CNS,7.662,6.961,4.41,>8.70,Q1,医学-2区,
FLUIDS,-,-,1.08,N/A,,,
FLUID PHASE EQUILIBRIA,2.775,2.745,1.38,2.2,Q3,工程技术-3区,
FLUID DYNAMICS RESEARCH,1.067,1.5,0.71,1.78,Q4,工程技术-4区,
FLUID DYNAMICS,0.688,0.673,0.43,>0.84,Q4,工程技术-4区,
FLUGMEDIZIN TROPENMEDIZIN REISEMEDIZIN,-,-,0.23,N/A,,,
FLUCTUATION AND NOISE LETTERS,1.31,1.652,1.05,1.76,Q4,工程技术-4区,
FLOW TURBULENCE AND COMBUSTION,2.305,2.566,1.3,>3.21,Q3,工程技术-3区,
FLOW MEASUREMENT AND INSTRUMENTATION,2.037,2.42,1.2,2.75,Q3,工程技术-3区,
FLORIDA ENTOMOLOGIST,1.425,1.434,0.56,1.51,Q3,农林科学-4区,
FLORESTA E AMBIENTE,-,-,0.42,N/A,,,
FLORENCE NIGHTINGALE JOURNAL OF NURSING,-,-,0.36,N/A,,,
FLORA INFEKSIYON HASTALIKLARI VE KLINIK MIKROBIYOLOJI DERGISI,-,-,0.06,N/A,,,
FLORA,2.092,2.22,0.71,1.97,Q3,生物学-3区,
FLEXIBLE SERVICES AND MANUFACTURING JOURNAL,2.603,2.209,1.22,2.52,Q4,工程技术-3区,
FLEXIBLE AND PRINTED ELECTRONICS,3.588,3.768,1.74,3.81,Q3,工程技术-4区,
FLEISCHWIRTSCHAFT,0.32,0.13,0.11,<0.10,Q4,农林科学-4区,
FLAVOUR AND FRAGRANCE JOURNAL,2.576,2.5,1.6,>3.13,Q3,农林科学-4区,
FLATCHEM,5.227,5.829,3.39,>7.29,Q2,材料科学-3区,
FIXED POINT THEORY,2.435,1.396,0.63,<1.05,Q2,数学-4区,
FITOTERAPIA,2.882,3.204,1.82,3.95,Q3,医学-3区,
FISHES,2.385,3.17,1.21,3.71,Q2,农林科学-4区,
FISHERY TECHNOLOGY,-,-,0.1,N/A,,,
FISHERY BULLETIN,1,1.231,0.53,1.52,Q3,农林科学-4区,
FISHERIES SCIENCE,1.617,2.148,1.08,>2.69,Q3,农林科学-4区,
FISHERIES RESEARCH,2.422,2.815,1.35,2.87,Q2,农林科学-2区,
FISHERIES OCEANOGRAPHY,2.786,2.67,1.4,3.2,Q2,农林科学-2区,
FISHERIES MANAGEMENT AND ECOLOGY,1.894,2.088,1.09,2.35,Q3,农林科学-3区,
FISHERIES,2.939,3.539,1.62,>4.42,Q1,农林科学-2区,
FISH PHYSIOLOGY AND BIOCHEMISTRY,2.794,3.014,1.57,>3.77,Q3,农林科学-3区,
FISH PATHOLOGY,0.6,0.567,0.13,<0.43,Q4,农林科学-4区,
FISH AND FISHERIES,7.218,7.401,3.58,>9.25,Q1,农林科学-1区,
FISH & SHELLFISH IMMUNOLOGY,0.6,0.567,2.39,0.54,Q4,农林科学-2区,
FISCAL STUDIES,1.261,6.19,4.24,>7.74,Q1,经济学-4区,
FIRST PEOPLES CHILD & FAMILY REVIEW,-,-,1.33,N/A,,,
FIRST LANGUAGE,1.328,1.828,0.87,1.43,Q4,人文科学-4区,
FIRE-SWITZERLAND,-,2.726,1.79,N/A,Q3,,
FIRE TECHNOLOGY,2.239,3.605,1.93,>4.51,Q3,工程技术-3区,
FIRE SAFETY JOURNAL,2.764,3.78,1.56,4.48,Q3,工程技术-3区,
FIRE ECOLOGY,2.738,5.364,2.84,>6.71,Q1,环境科学与生态学-4区,
FIRE AND MATERIALS,2.407,1.979,0.84,1.97,Q4,材料科学-4区,
FINLAY,-,-,0.01,N/A,,,
FINITE FIELDS AND THEIR APPLICATIONS,1.773,1.655,0.6,1.25,Q2,数学-2区,
FINITE ELEMENTS IN ANALYSIS AND DESIGN,2.972,2.618,1.68,2.69,Q3,工程技术-3区,
FINISTERRA-REVISTA PORTUGUESA DE GEOGRAFIA,-,-,0.23,N/A,,,
FINANZARCHIV,0.459,0.393,N/A,<0.29,Q4,经济学-4区,
FINANCIAL REVIEW,-,-,1.65,N/A,,,
FINANCIAL MARKETS AND PORTFOLIO MANAGEMENT,-,-,1.21,N/A,,,
FINANCIAL MANAGEMENT,2.938,3.391,1.01,2.95,Q2,经济学-3区,
FINANCIAL INNOVATION,3.985,6.793,4.42,>8.49,Q1,经济学-2区,
FINANCIAL INNOVATION,3.985,6.793,4.42,>8.49,Q1,经济学-2区,
FINANCIAL INNOVATION,3.985,6.793,4.42,>8.49,Q1,经济学-2区,
FINANCIAL INNOVATION,3.985,6.793,4.42,>8.49,Q1,经济学-2区,
FINANCIAL HISTORY REVIEW,-,-,0.39,N/A,,,
FINANCIAL AND CREDIT ACTIVITY-PROBLEMS OF THEORY AND PRACTICE,-,-,0.53,N/A,,,
FINANCIAL ANALYSTS JOURNAL,2.667,2.345,1.55,>2.93,Q3,经济学-3区,
FINANCIAL ACCOUNTABILITY & MANAGEMENT,-,-,1.01,N/A,,,
FINANCE RESEARCH LETTERS,5.596,9.848,5.78,>12.31,Q1,经济学-3区,
FINANCE AND STOCHASTICS,2.467,2.095,0.76,1.67,Q3,经济学-2区,
FINANCE A UVER-CZECH JOURNAL OF ECONOMICS AND FINANCE,0.792,0.292,0.26,0.26,Q4,经济学-4区,
FILTRATION & SEPARATION,0.038,0.06,N/A,<0.04,Q4,工程技术-4区,
FILOZOFSKI VESTNIK,-,-,N/A,N/A,,,
FILOZOFSKA ISTRAZIVANJA,-,-,N/A,N/A,,,
FILOZOFIA NAUKI,-,-,0.09,N/A,,,
FILOZOFIA,-,-,0.13,N/A,,,
FILOSOFSKII ZHURNAL,-,-,0.04,N/A,,,
FILOSOFIYA-PHILOSOPHY,-,-,0.08,N/A,,,
FILOSOFIJA-SOCIOLOGIJA,0.351,0.405,0.08,<0.30,Q4,法学-4区,
FILOSOFICKY CASOPIS,-,-,N/A,N/A,,,
FILOSOFIA UNISINOS,-,-,0.02,N/A,,,
FILOSOFIA UNISINOS,-,-,0.02,N/A,,,
FILOSOFIA UNISINOS,-,-,0.02,N/A,,,
FILOSOFIA UNISINOS,-,-,0.02,N/A,,,
FILOSOFIA POLITICA,-,-,N/A,N/A,,,
FILOMAT,0.844,0.988,0.39,1.03,Q4,数学-4区,
FILOLOGICHESKIE NAUKI-NAUCHNYE DOKLADY VYSSHEI SHKOLY-PHILOLOGICAL SCIENCES-SCIENTIFIC ESSAYS OF HIGHER EDUCATION,-,-,0.01,N/A,,,
FILOLOGIA MEDIOLATINA,-,-,N/A,N/A,,,
FILM-PHILOSOPHY,-,-,0.16,N/A,,,
FILM STUDIES,-,-,N/A,N/A,,,
FILM QUARTERLY,-,-,0.12,N/A,,,
FILM INTERNATIONAL,-,-,N/A,N/A,,,
FILM HISTORY,-,-,0.15,N/A,,,
FILM FASHION & CONSUMPTION,-,-,0.05,N/A,,,
FILM CRITICISM,-,-,N/A,N/A,,,
FILM COMMENT,-,-,0.08,N/A,,,
FILIGRANE-REVUE DE PSYCHANALYSE,-,-,N/A,N/A,,,
FIIB BUSINESS REVIEW,-,-,0.67,N/A,,,
FIELDWORK IN RELIGION,-,-,0.05,N/A,,,
FIELD METHODS,1.413,1.782,0.77,>2.23,Q3,法学-4区,
FIELD CROPS RESEARCH,5.224,6.145,2.96,>7.68,Q1,农林科学-1区,
FIDDLEHEAD,-,-,N/A,N/A,,,
FIBRES & TEXTILES IN EASTERN EUROPE,1.045,1.104,0.41,0.86,Q3,,
FIBRE CHEMISTRY,0.876,0.693,0.15,>0.87,Q4,材料科学-4区,
FIBONACCI QUARTERLY,-,-,0.21,N/A,,,
FIBERS AND POLYMERS,2.153,2.347,1.27,>2.93,Q3,材料科学-4区,
FIBERS,-,-,2.26,N/A,,,
FIBER AND INTEGRATED OPTICS,1.087,0.976,0.84,>1.22,Q4,物理与天体物理-4区,
FEW-BODY SYSTEMS,1.362,1.844,0.93,1.43,Q3,物理与天体物理-4区,
FETAL DIAGNOSIS AND THERAPY,2.587,2.208,1.18,2.32,Q4,医学-3区,
FETAL AND PEDIATRIC PATHOLOGY,0.958,1.412,0.57,<1.06,Q4,医学-4区,
FERTILITY AND STERILITY,7.329,7.49,3.16,7.42,Q1,医学-2区,
FERROELECTRICS LETTERS SECTION,0.96,0.5,0.23,<0.38,Q4,物理与天体物理-4区,
FERROELECTRICS,0.62,0.695,0.48,>0.87,Q4,材料科学-4区,
FERMENTATION-BASEL,-,-,1.88,N/A,Q2,农林科学-3区,
FENNIA-INTERNATIONAL JOURNAL OF GEOGRAPHY,-,-,0.48,N/A,,,
FEMS YEAST RESEARCH,2.796,2.923,1.4,>3.65,Q3,生物学-4区,
FEMS MICROBIOLOGY REVIEWS,16.408,15.177,5.91,14.86,Q1,生物学-1区,
FEMS MICROBIOLOGY LETTERS,2.742,2.82,1.05,<2.11,Q3,生物学-4区,
FEMS MICROBIOLOGY ECOLOGY,4.194,4.519,2.29,>5.65,Q2,生物学-3区,
FEMINISTISCHE STUDIEN,0.12,0.042,N/A,N/A,Q4,法学-4区,
FEMINIST THEORY,0.864,1.591,1.03,>1.99,Q3,法学-4区,
FEMINIST THEOLOGY,-,-,0.09,N/A,,,
FEMINIST REVIEW,1.675,2.816,0.93,2.14,Q1,法学-3区,
FEMINIST MEDIA STUDIES,2.922,1.953,0.82,>2.44,Q3,人文科学-4区,
FEMINIST MEDIA HISTORIES,-,-,0.16,N/A,,,
FEMINIST LEGAL STUDIES,2.259,1.958,0.77,>2.45,Q2,法学-3区,
FEMINIST GERMAN STUDIES,-,-,0.04,N/A,,,
FEMINIST ECONOMICS,1.8,2.821,2.18,>3.53,Q2,经济学-3区,
FEMINIST CRIMINOLOGY,2.981,2.726,1.14,2.55,Q2,法学-3区,
FEMINISMO-S,-,-,0.02,N/A,,,
FEMINISM & PSYCHOLOGY,3.377,5.833,1.1,<4.37,Q1,心理学-3区,
FEMALE PELVIC MEDICINE AND RECONSTRUCTIVE SURGERY,2.091,1.913,0.86,1.74,Q4,医学-3区,
FEDERAL RESERVE BANK OF ST LOUIS REVIEW,1.235,0.647,0.69,>0.81,Q4,经济学-4区,
FEBS OPEN BIO,2.693,2.792,1.27,2.94,Q4,生物学-4区,
FEBS LETTERS,4.124,3.864,1.94,4.41,Q3,生物学-3区,
FEBS JOURNAL,5.542,5.622,3.05,6.93,Q2,生物学-3区,
FDMP-FLUID DYNAMICS & MATERIALS PROCESSING,-,-,0.99,N/A,,,
FATIGUE-BIOMEDICINE HEALTH AND BEHAVIOR,-,-,1.51,N/A,,,
FATIGUE & FRACTURE OF ENGINEERING MATERIALS & STRUCTURES,3.459,3.373,2.09,3.8,Q3,材料科学-2区,
FAT STUDIES-AN INTERDISCIPLINARY JOURNAL OF BODY WEIGHT AND SOCIETY,-,-,0.63,N/A,,,
FASHION THEORY-THE JOURNAL OF DRESS BODY & CULTURE,-,-,0.3,N/A,,,
FASHION STYLE & POPULAR CULTURE,-,-,0.02,N/A,,,
FASHION PRACTICE-THE JOURNAL OF DESIGN CREATIVE PROCESS & THE FASHION INDUSTRY,-,-,0.4,N/A,,,
FASHION AND TEXTILES,2.2,2.765,1.19,3.17,Q1,材料科学-3区,
FASEB JOURNAL,5.192,5.834,2.56,<4.38,Q2,生物学-2区,
FASEB BIOADVANCES,-,-,1.42,N/A,,,
FASCISM,-,-,0.08,N/A,,,
FARMECONOMIA-HEALTH ECONOMICS AND THERAPEUTIC PATHWAYS,-,-,0.27,N/A,,,
FARMACIA HOSPITALARIA,-,-,0.75,N/A,,,
FARMACIA,1.433,1.55,0.84,1.72,Q4,医学-4区,
FARMACEUTICOS COMUNITARIOS,-,-,0.03,N/A,,,
FARADAY DISCUSSIONS,4.008,4.394,1.87,<3.30,Q2,化学-2区,
FAMILY RELATIONS,3.082,1.879,1.19,>2.35,Q3,法学-2区,
FAMILY PROCESS,3.532,4.319,2.15,>5.40,Q2,心理学-2区,
FAMILY PRACTICE,2.267,2.29,0.96,2.59,Q3,医学-4区,
FAMILY MEDICINE AND PRIMARY CARE REVIEW,-,-,0.4,N/A,,,
FAMILY MEDICINE AND COMMUNITY HEALTH,-,-,2.21,N/A,,,
FAMILY MEDICINE,1.756,2.24,0.82,2.06,Q3,医学-4区,
FAMILY JOURNAL,-,-,0.6,N/A,,,
FAMILY COURT REVIEW,-,-,0.42,N/A,,,
FAMILY BUSINESS REVIEW,9.848,7.575,3.31,>9.47,Q2,管理学-1区,
FAMILY & CONSUMER SCIENCES RESEARCH JOURNAL,3.532,4.319,0.26,N/A,Q2,,
FAMILY & COMMUNITY HISTORY,3.532,4.319,0.1,N/A,Q2,,
FAMILY & COMMUNITY HEALTH,3.532,4.319,1.07,>5.40,Q2,医学-4区,
FAMILIES SYSTEMS & HEALTH,1.95,1.569,0.49,1.33,Q4,医学-4区,
FAMILIES RELATIONSHIPS AND SOCIETIES,0.759,0.981,0.47,0.85,Q4,法学-4区,
FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES,1.149,1.356,0.55,1.45,Q4,法学-4区,
FAMILIAL CANCER,2.375,2.446,1.22,2.13,Q4,医学-4区,
FAITH AND PHILOSOPHY,-,-,0.2,N/A,,,
FACTS VIEWS AND VISION IN OBGYN,-,-,0.8,N/A,,,
FACTA UNIVERSITATIS-SERIES MECHANICAL ENGINEERING,3.324,4.622,4.44,>5.78,Q1,工程技术-3区,
FACTA UNIVERSITATIS-SERIES MATHEMATICS AND INFORMATICS,-,-,0.23,N/A,,,
FACTA UNIVERSITATIS-SERIES ELECTRONICS AND ENERGETICS,-,-,0.31,N/A,,,
FACILITIES,-,-,1.32,N/A,,,
FACIES,1.932,2.211,0.84,1.92,Q2,地球科学-4区,
FACIAL PLASTIC SURGERY CLINICS OF NORTH AMERICA,1.918,1.875,0.65,<1.41,Q3,医学-3区,
FACIAL PLASTIC SURGERY & AESTHETIC MEDICINE,-,2.296,0.87,N/A,Q3,医学-2区,
FACIAL PLASTIC SURGERY,1.446,1.286,0.47,1.13,Q4,医学-4区,
FACHSPRACHE-JOURNAL OF PROFESSIONAL AND SCIENTIFIC COMMUNICATION,-,-,0.12,N/A,,,
FACETS,2.535,2.862,1.61,>3.58,Q2,综合性期刊-4区,
FABULA,-,-,0.07,N/A,,,
FABRICATIONS-THE JOURNAL OF THE SOCIETY OF ARCHITECTURAL HISTORIANS AUSTRALIA AND NEW ZEALAND,-,-,0.09,N/A,,,
F SCOTT FITZGERALD REVIEW,-,-,N/A,N/A,,,
EZHEGODNIK FINNO-UGORSKIKH ISSLEDOVANII-YEARBOOK OF FINNO-UGRIC STUDIES,-,-,0.02,N/A,,,
EYE REPORTS,-,-,N/A,N/A,,,
EYE AND VISION,3.257,4.427,2.16,5.48,Q1,医学-2区,
EYE AND BRAIN,-,-,2.18,N/A,,,
EYE & CONTACT LENS-SCIENCE AND CLINICAL PRACTICE,-,-,1.23,N/A,,医学-4区,
EYE,3.775,4.456,1.75,5.55,Q1,医学-3区,
EXTREMOPHILES,2.395,3.035,1.45,3.39,Q3,生物学-4区,
EXTREMES,1.407,1.318,0.71,>1.65,Q4,数学-4区,
EXTREME MECHANICS LETTERS,4.567,4.728,2.53,>5.91,Q2,工程技术-3区,
EXTRAPOLATION,-,-,0.04,N/A,,,
EXTRACTIVE INDUSTRIES AND SOCIETY-AN INTERNATIONAL JOURNAL,3.586,3.808,1.63,3.53,Q2,法学-3区,
EXPRESSIONS MAGHREBINES,-,-,0.05,N/A,,,
EXPRESS POLYMER LETTERS,4.161,3.952,1.73,<2.96,Q2,化学-3区,
EXPOSURE AND HEALTH,11.422,8.835,3.75,6.7,Q1,环境科学与生态学-2区,
EXPOSITORY TIMES,-,-,0.04,N/A,,,
EXPOSITIONES MATHEMATICAE,1.478,1.339,0.36,<1.00,Q2,数学-4区,
EXPLORE-THE JOURNAL OF SCIENCE AND HEALING,1.775,2.358,1.04,2.7,Q3,医学-4区,
EXPLORATORY ANIMAL AND MEDICAL RESEARCH,-,-,0.02,N/A,,,
EXPLORATIONS IN RENAISSANCE CULTURE,-,-,N/A,N/A,,,
EXPLORATIONS IN ECONOMIC HISTORY,2.259,1.857,1.36,>2.32,Q3,人文科学-1区,
EXPLORATION GEOPHYSICS,0.942,1.026,0.43,1.2,Q4,地球科学-4区,
EXPLICATOR,-,-,0.03,N/A,,,
EXPERT SYSTEMS WITH APPLICATIONS,6.954,8.665,4.4,9.82,Q1,计算机科学-1区,
EXPERT SYSTEMS,2.587,2.812,1.64,3.2,Q3,计算机科学-4区,
EXPERT REVIEWS IN MOLECULAR MEDICINE,5.6,7.615,2.52,7.24,Q1,医学-3区,
EXPERT REVIEW OF VACCINES,5.217,5.683,3.02,>7.10,Q2,医学-2区,
EXPERT REVIEW OF RESPIRATORY MEDICINE,3.772,4.3,1.93,4.93,Q2,医学-3区,
EXPERT REVIEW OF PROTEOMICS,3.94,4.25,1.7,3.89,Q2,生物学-3区,
EXPERT REVIEW OF PRECISION MEDICINE AND DRUG DEVELOPMENT,-,-,0.47,N/A,,,
EXPERT REVIEW OF PHARMACOECONOMICS & OUTCOMES RESEARCH,2.217,2.039,1.17,>2.55,Q4,医学-4区,
EXPERT REVIEW OF OPHTHALMOLOGY,-,-,0.42,N/A,,,
EXPERT REVIEW OF NEUROTHERAPEUTICS,4.618,4.287,2.38,>5.36,Q2,医学-3区,
EXPERT REVIEW OF MOLECULAR DIAGNOSTICS,5.225,5.67,2.03,5.67,Q1,医学-3区,
EXPERT REVIEW OF MEDICAL DEVICES,3.166,3.439,1.54,3.94,Q3,工程技术-3区,
EXPERT REVIEW OF HEMATOLOGY,2.929,2.819,1.43,2.97,Q3,医学-4区,
EXPERT REVIEW OF GASTROENTEROLOGY & HEPATOLOGY,3.869,4.095,1.95,>5.12,Q2,医学-3区,
EXPERT REVIEW OF ENDOCRINOLOGY & METABOLISM,-,-,1.51,N/A,,,
EXPERT REVIEW OF CLINICAL PHARMACOLOGY,5.05,4.108,2.12,4.36,Q2,医学-2区,
EXPERT REVIEW OF CLINICAL IMMUNOLOGY,4.473,5.124,2.34,4.59,Q2,医学-3区,
EXPERT REVIEW OF ANTI-INFECTIVE THERAPY,5.091,5.854,2.82,>7.32,Q2,医学-2区,
