question,answers
What clinical condition is caused by Hantaan virus?,hemorrhagic fever with renal syndrome
What is the structure of Hantaan virus?,"enveloped, negative-sense RNA virus"
What the animal vector reservoir for Hantaan virus?,rodents
What diagnostic test is correlated with the severity of HFRS?,plasma viral load
How is Interferon used in practice?,an antiviral medicine
What genotypes are associated with the severity of HFRS?,rs12252 C allele and CC genotype
Which IFITM proteins have been shown to possess antiviral activity?,"IFITM1, 2, and 3"
What is the hypothesized mechanism by which IFITMs work?,restrict viral infection at the stage of cellular entry
What genotype causes truncation of the IFITM3 protein?,rs12252 C allele
What can cause a slowing growth in daily reported deaths?,"significant impact
of interventions implemented several weeks earlier."
When did Italy go into Iockdown?,11th March
Approximately how many deaths have been averted in Western Europe with current non-pharmaceutical interventions remaining in place until the end of March?,"59,000 deaths"
What are some non-pharmaceutical interventions?,"case isolation, the closure of schools and
universities, banning of mass gatherings and/or public events, and most recently, widescale social
distancing including local and national Iockdowns"
Type of model used to infer the impact non-pharmaceutical interventions?,semi-mechanistic Bayesian hierarchical model
A scientific measure of virus transmission?,reproductive number
How can a semi-mechanistic Bayesian hierarchical model estimate changes to the reproductive number?,"calculating backwards from the deaths observed over time to estimate transmission that
occurred several weeks prior, allowing for the time lag between infection and death."
What is a key assumption of a semi-mechanistic Bayesian hierarchical model used for coronavirus?,"each intervention has the same effect on the
reproduction number across countries and over time"
"What is the time lag between when transmission changes occur and when their impact can be
observed in trends in mortality?",2-3 weeks
Examples of social distancing?,"banning large gatherings and advising individuals not to socialize outside
their households"
What is the key aim of non-pharmaceutical interventions?,reduce the effective reproduction number
What happens if the reproduction number is greater then 1?,infections will increase (dependent on how much greater than 1 the reproduction number is)
Term describing when a majority of the population has built an immunity to a virus?,herd immunity
When did China introduce strict movement restrictions and other measures including case isolation and quarantine?,23rd January
What was the result of China's interventions introduced in January?,"downward trend in the number of
confirmed new cases during February"
What was the estimated effect on China's reproduction number in March based on the intervention introduced in January?,"from
around 2-4 during the uncontrolled epidemic down to below 1"
Why is it challenging to estimate the reproduction number?,"high proportion of
infections not detected by health systems”7 and regular changes in testing policies,"
What is an alternative way to estimate the course of an epidemic?,"back-calculate infections from
observed deaths"
Estimated number of people in Italy infected with coronavirus by March 28th?,"cumulatively, 5.9 [1.9-15.2] million people have been
infected as of March 28th"
What is the estimated attack rate in Italy?,9.8% [3.2%-25%] of the population
As of the end of March what is the proportion of Spain's population to be infected?,15.0% (7.0 [18-19] million people)
Which Western European country is estimated to have the lowest attack rate?,Germany
What is Austria's estimated mean percentage [95% credible interval] of total population infected as of 28th March?,1.1% [0.36%-3.1%]
What is Belgium's estimated mean percentage [95% credible interval] of total population infected as of 28th March?,3.7% [1.3%-9.7%]
What is Denmark's estimated mean percentage [95% credible interval] of total population infected as of 28th March?,1.1% [0.40%-3.1%]
What is France's estimated mean percentage [95% credible interval] of total population infected as of 28th March?,3.0% [1.1%-7.4%]
What is Germany's estimated mean percentage [95% credible interval] of total population infected as of 28th March?,0.72% [0.28%-1.8%]
What is Italy's estimated mean percentage [95% credible interval] of total population infected as of 28th March?,9.8% [3.2%-26%]
What is Norway's estimated mean percentage [95% credible interval] of total population infected as of 28th March?,0.41% [0.09%-1.2%]
What is Spain's estimated mean percentage [95% credible interval] of total population infected as of 28th March?,15% [3.7%-41%]
What is Spain's estimated mean percentage [95% credible interval] of total population infected as of 28th March?,3.1% [0.85%-8.4%]
What is Switzerland's estimated mean percentage [95% credible interval] of total population infected as of 28th March?,3.2% [1.3%-7.6%]
What is United Kingdom's estimated mean percentage [95% credible interval] of total population infected as of 28th March?,2.7% [1.2%-5.4%]
What is the estimated averaged initial reproduction number [95% credible interval] for Western Europe as of 28th March?,3.87 [3.01-4.66]
Why is there high uncertainty in estimating the impact of interventions against the coronavirus?,"too early to detect substantial
intervention impact in many countries at earlier stages of their epidemic"
Why is it statistically impossible to determine which individual intervention had the greatest effect on reducing the coronavirus reproduction number?,close spacing of interventions in time
What is estimated to drop immediately after an introduction of a non-pharmaceutical intervention?, number of daily infections
One way to understand the impact of interventions?,"fit a counterfactual model without the interventions
and compare this to the actual model"
What is a lockdown?,banned gatherings of more than 2 people
Why is it hard to know the true incidence of infections number?,underreporting as well as systematic and country-specific changes in testing
What is an example of a case-based measure against coronavirus?,"strong recommendations or laws to the general
public and primary care about self—isolation when showing COVID-19-like symptoms"
What is an example of containment phase intervention?,isolation if travelling back from an epidemic country
What does a public events ban intervention mean?,banning all public events of more than 100 participants
An example of social distancing,work from home wherever possible
Example of social distancing,reducing use ofpublictransport
What is a lockdown?,regulations/legislations regarding strict face-to-face social interaction
What is an infection-to-onset-distribution?,"time from infection to the onset
of symptoms"
What is an onset-to-death distribution?,time from the onset of symptoms to death
What is the population-averaged infection fatality ratio?,"adjusted for the age structure and contact patterns of
each country"
What is the time-varying reproduction number a function of?," initial reproduction number before interventions and the effect sizes from
interventions"
What is an incubation period?,infection to onset of symptoms
What is an incubation period?,"infection-
to-onset"
What are the descriptive statistics for the onset-to-death for coronavirus?,"Gamma distributed with a mean of 18.8 days and a
coefficient of va riation 0.45"
What are the descriptive statistics for the incubation period for coronavirus?,"distribution is Gamma distributed with mean 5.1 days and coefficient of variation
0.86"
What is the estimated infection-to-death distribution's mean for coronavirus?,23.9 days
What is a well known approach to model the true number of infected individuals?,discrete renewal process
In 2009 what was the reported H1N1 vaccination rate in China?,10.8%
What is the highest alert level given by the World Health Organization to a pandemic?,phase 6
What does it mean for a pandemic to have a WHO alert level of 6?,spread in more than two continents
What was the estimated economic impact in the U.S. from the 2009 SARS pandemic?,estimated at $30-$100 billion
How is 2019-nCOV transmitted?,"2019-nCoV was transmitted through respiratory tract and then induced pneumonia,"
What are ways in  which 2019-nCOV is transmitted?,"We found the presence of 2019-nCoV in anal swabs and blood as well, and more anal swab positives than oral swab positives in a later stage of infection, suggesting shedding and thereby transmitted through oral–fecal route."
"Is oral swab for detecting 2019-nCOV infection, sufficient?",the current strategy for the detection of viral RNA in oral swabs used for 2019-nCoV diagnosis is not perfect. The virus may be present in anal swabs or blood of patients when oral swabs detection negative.
"Is oral swab for detecting 2019-nCOV infection, sufficient?"," patients infected with 2019-nCoV may harbour the virus in the intestine at the early or late stage of disease. It is also worth to note none of the patients with viremia blood had positive swabs. These patients would likely be considered as 2019-nCoV negative through routine surveillance, and thus pose a threat to other people."
What other tests should be considered for 2019-nCOV epidemiology?,serology should be considered for 2019-nCoV epidemiology.
What tests should  be done before a 2019-nCOV infected patient is discharged?,"we cannot discharge a patient purely based on oral swabs negative, who may still shed the virus by oral-fecal route. Above all, we strongly suggest using viral IgM and IgG serological test to confirm an infection, considering the unreliable results from oral swabs detection"
What symptoms were reported?,"Of the remaining 29, 20 reported fever, 14 reported cough and eight reported weakness. Additional symptoms reported included headaches (6 cases), sore throat (2), rhinorrhoea (2), shortness of breath (2), myalgia (1), diarrhoea (1) and nausea (1)"
What did the collected data include?,"demographics, history of recent travel to affected areas, close contact with a probable or confirmed COVID-19 case, underlying conditions, signs and symptoms of disease at onset, type of specimens from which the virus was detected, and clinical outcome. "
When was COVID  surveillance implemented in European region?,27 January 2020
"As of 21 February, how many cases were reported?",47
Where were the cases that were studied?,"21 were linked to two clusters in Germany and France, 14 were infected in China"
What was the median case age?,42 years
How many were male?, 25 
How many cases were there on 5 March?,"4,250 "
When did the Chinese authorities share the sequence of a novel coronavirus ?,12 January 2020
What is the name of the disease caused buy SARS-COV-2?,coronavirus disease 2019 (COVID -19)
What country does this study exclude?,United Kingdom (UK)
What does the study include?,a comparison between cases detected among travellers from China and cases whose infection was acquired due to subsequent local transmission.
What did the ECDC and WHO regional office ask the countries?, to complete a WHO standard COVID-19 case report form for all confirmed and probable cases according to WHO criteria
What was the overall aim of the surveillance?, to support the global strategy of containment of COVID-19 with rapid identification and follow-up of cases linked to affected countries in order to minimise onward transmission.
What were the surveillance objectives?,to: describe the key epidemiological and clinical characteristics of COVID-19 cases detected in Europe; inform country preparedness; and improve further case detection and management. 
What is the adopted WHO case definition?,"a confirmed case was a person with laboratory confirmation of SARS-CoV-2 infection (ECDC recommended two separate SARS-CoV-2 RT-PCR tests), irrespective of clinical signs and symptoms, whereas a probable case was a suspect case for whom testing for SARS-CoV-2 was inconclusive or positive using a pan-coronavirus assay"
When was the first reported death in France?,15 February
What is the presumed incubation period?, up to 14 days [
What were the places of infection?," 35 cases (missing for three cases), of whom 14 were infected in China (Hubei province: 10 cases; Shandong province: one case; province not reported for three cases). The remaining 21 cases were infected in Europe. "
What places were linked to these?,"14 were linked to a cluster in Bavaria, Germany, and seven to a cluster in Haute-Savoie, France "
How many cases were hospitalised?,All but two cases were hospitalised (35 of 37 where information on hospitalisation was reported)
Why were they hospitalised?, it is likely that most were hospitalised to isolate the person rather than because of severe disease. 
What was time from onset to hospitalisation?,ranged between 0 and 10 days with a mean of 3.7 days 
What was the duration of hospitalisation?,"The mean number of days to hospitalisation was 2.5 days for cases imported from China, but 4.6 days for those infected in Europe."
Why was this?,"This was mostly a result of delays in identifying the index cases of the two clusters in France and Germany. In the German cluster, for example, the first three cases detected locally were hospitalised in a mean of 5.7 days, whereas the following six took only a mean of 2 days to be hospitalised."
"How many cases reported symptoms at this point?
", 31 cases
How many cases were asymptomatic?,Two cases 
What were the asymptomatic cases tested as?,as part of screening following repatriation and during contact tracing respectively. 
 For how many cases Fever reported as the sole symptom?, nine cases
In how many cases the symptoms at diagnosis were consistent with the case definition for acute respiratory infection?,In 16 of 29 symptomatic cases
How many cases had data on preexisting conditions?,seven cases
How many cases had no pre-existing conditions?,five
What other data on pre-existing conditions were reported?,one was reported to be obese and one had pre-existing cardiac disease. No data on clinical signs e.g. dyspnea etc. were reported for any of the 38 cases.
How many reported viral pneumonia?,two reported in Italy and two reported in France
What was the clinical evolution of the hospitalised cases?,"All hospitalised cases had a benign clinical evolution except four,"
What happened to three cases who were aged 65 years or over?,were admitted to intensive care and required respiratory support and one French case died.
What happened to the case who died?,was hospitalised for 21 days and required intensive care and mechanical ventilation for 19 days
What was the duration of hospitalisation reported for 16 cases ?,a median of 13 days (range: 8-23 days)
How were the assays confirmed?,according to specific assays targeting at least two separate genes (envelope (E) gene as a screening test and RNA-dependent RNA polymerase (RdRp) gene or nucleoprotein (N) gene for confirmation) 
What were the specimen types for 21 cases?,"15 had positive nasopharyngeal swabs, nine had positive throat swabs, three cases had positive sputum, two had a positive nasal swab, one case had a positive nasopharyngeal aspirate and one a positive endotracheal aspirate."
"As of 5 March 2020, what  are the cases in the WHO European region?","there are 4,250 cases including 113 deaths reported among 38 countries"
What were the two contexts for transmission?,sporadic cases among travellers from China (14 cases) and cases who acquired infection due to subsequent local transmission in Europe (21 cases).
What  does the analysis show on the difference between locally acquired cases vs imported cases?,that the time from symptom onset to hospitalisation/case isolation was about 3 days longer for locally acquired cases than for imported cases.
What is required for locally acquired cases?,"significant resources for contact tracing and quarantine, and countries should be prepared to allocate considerable public health resources during the containment phase, should local clusters emerge in their population. In addition, prompt sharing of information on cases and contacts through international notification systems such as the International Health Regulations (IHR) mechanism and the European Commission's European Early Warning and Response System is essential to contain international spread of infection.
"
What was common to all imported cases?,had a history of travel to China
What testing and detection are needed?,"Testing of suspected cases based on geographical risk of importation needs to be complemented with additional approaches to ensure early detection of local circulation of COVID-19, including through testing of severe acute respiratory infections in hospitals irrespectively of travel history as recommended in the WHO case definition updated on 27 February 2020 "
What did the finding prompt ECDC to do?,include fever among several clinical signs or symptoms indicative for the suspected case definition.
Why is understanding the infection-severity  critical ?,to help plan for the impact on the healthcare system and the wider population.
Why are serological tests vital?,to understand the proportion of cases who are asymptomatic.
How can hospital based surveillance help?,help estimate the incidence of severe cases and identify risk factors for severity and death
How can present systems of surveillance be used?,"Established hospital surveillance systems that are in place for influenza and other diseases in Europe may be expanded for this purpose. In addition, a number of countries in Europe are adapting and, in some cases, already using existing sentinel primary care based surveillance systems for influenza to detect community transmission of SARS-CoV-2"
How will  this approach used?,"will be used globally to help identify evidence of widespread community transmission and, should the virus spread and containment no longer be deemed feasible, to monitor intensity of disease transmission, trends and its geographical spread."
Why is additional research needed?," to complement surveillance data to build knowledge on the infectious period, modes of transmission, basic and effective reproduction numbers, and effectiveness of prevention and case management options also in settings outside of China."
What serious question was raised?,as to whether or not our seasonal or pandemic flu might have another reservoir host.
What is a recent discovery?,Bat is believed to harbor many more viruses than we ever thought as a reservoir host or even a susceptible host 
Which bat virus have been found to be linked with diseases?,"potential human infecting HKU-1, 4, 5 and 9 [17, 18] . Recent MERS-CoV infection is another example for severe disease caused by used-to-be-less pathogenic coronaviruses. Shi and colleagues [19] by using NGS have discovered many unknown animal viruses from bat, especially some important paramyxoviruses and reoviruses. Filovirus has also been identified in bat with potential severe outcomes. Lyssaviruses (with many genotypes, including rabies virus) in the Rhabdoviridae family have been linked with severe fatal human cases, even in the developed countries, including Australia, with the bites of bats in the city [20, 21] ."
What assay played an important role?,reverse transcription polymerase chain reaction (RT-PCR)
What was the death toll in the 1918-1919 Spanish Influenza epidemic?,50 million deaths worldwide
How many people were infected during the 1918 Spanish Influenza epidemic?,"An estimated one third of the world’s population (or
z500 million persons) were infected and had clinical-
ly apparent illnesses"
What was the case fatality rate in the 1918 Spanish Influenza epidemic?,"Case-
fatality rates were >2.5%, compared to 0.1% in other
inﬂuenza pandemics"
What was the death toll in the 1918-1919 Spanish Influenza epidemic?,"Total deaths were estimated at
z50 million (577) and were arguably as high as 100 mil-
lion "
Are the modern day Influenza viruses related to the 1918 Spanish Influenza virus?," All inﬂuenza A pandemics since that time, and
indeed almost all cases of inﬂuenza A worldwide (except-
ing human infections from avian Viruses such as H5N1 and
H7N7), have been caused by descendants of the 1918
Virus, including “drifted” H1N1 Viruses and reassorted
H2N2 and H3N2 Viruses."
Why is the Spanish Influenza virus the Mother of the modern influenza viruses?,"The latter are composed of key
genes from the 1918 Virus, updated by subsequently-incor—
porated avian inﬂuenza genes that code for novel surface

 

*Armed Forces Institute of Pathology, Rockville, Maryland, USA;
and TNational Institutes of Health, Bethesda, Maryland, USA

proteins, making the 1918 Virus indeed the “mother” of all
pandemics."
When was it  determined that the 1918  pandemic was caused by the H1N1 Influenza virus?,"That question did not begin to be resolved until the 1930s,
when closely related inﬂuenza Viruses (now known to be
H1N1 Viruses) were isolated, ﬁrst from pigs and shortly
thereafter from humans. Seroepidemiologic studies soon
linked both of these viruses to the 1918 pandemic"
Did the Spanish Influenza or Swine flu or the H1N1 virus disappear in humans for some time?," descendants of the 1918
Virus still persists enzootically in pigs. They probably also
circulated continuously in humans, undergoing gradual
antigenic drift and causing annual epidemics, until the
1950s. With the appearance of a new H2N2 pandemic
strain in 1957 (“Asian ﬂu”), the direct H1N1 Viral descen-
dants 0f the 1918 pandemic strain disappeared from human
circulation entirely, although the related lineage persisted
enzootically in pigs."
When did the Swine Flu (Spanish Influenza) virus reappear in humans?," But in 1977, human H1N1 Viruses
suddenly “reemerged” from a laboratory freezer (9). They
continue to circulate endemically and epidemically."
What descendant  lineages of the swine flu (Spanish Influenza) virus were identified in 2006?," 2 major descendant lineages of the 1918
H1N1 Virus, as well as 2 additional reassortant lineages,
persist naturally: a human epidemic/endemic H1N1 line-
age, a porcine enzootic H1N1 lineage (so-called classic
swine ﬂu), and the reassorted human H3N2 Virus lineage,
which like the human H1N1 Virus, has led to a porcine
H3N2 lineage."
Are the modern descendant influenza viruses as dangerous as the 1918 parent swine flu (Spanish Influenza) H1N1 virus?,"None of these Viral descendants, however,
approaches the pathogenicity of the 1918 parent Virus."
How dangerous are the modern H1N1 (swine flu) and the H3N2 (Influenza A) viruses compared  to the 1918 H1N1 (swine flu Spanish Influenza)  viruses?,"the human H1N1 and H3N2 lin-
eages have both been associated with substantially lower
rates ofillness and death than the virus of 1918. In fact, cur-
rent H1N1 death rates are even lower than those for H3N2
lineage strains (prevalent from 1968 until the present)."
"Are the descendant H1N1 strains of the 1918 H1N1 swine flu (Spanish Influenza) virus, still prevalent?","H1N1 Viruses descended from the 1918 strain, as well as 
H3N2 Viruses, have now been cocirculating worldwide for
29 years and show little evidence of imminent extinction."
Is the origin and epidemiology of the 1918 swine flu (Spanish Influenza) known?,"ongoing studies to map Virulence
factors are yielding interesting results. The 1918 sequence
data, however, leave unanswered questions about the ori-
gin of the Virus (19) and about the epidemiology of the
pandemic."
What is the geographical origin of the H1N1 swine flu ?,"Historical and epidemiologic data are inade-
quate to identify the geographic origin of the Virus (21),
and recent phylogenetic analysis of the 1918 Viral genome
does not place the Virus in any geographic context"
Is the geographical origin of the 1918 H1N1 swine flu known?,"Confounding deﬁnite assignment of a geographic
point of origin, the 1918 pandemic spread more or less
simultaneously in 3 distinct waves during an z12-month
period in 191871919, in Europe, Asia, and North America
(the ﬁrst wave was best described in the United States in
March 1918)"
What is an unique feature of the 1918 swine flu?,"the simultaneous (or nearly simultaneous) infection
of humans and swin"
What season or  time of the year do the new strains of influenza emerge?,"Historical records since the 16th century suggest that
new inﬂuenza pandemics may appear at any time of year,
not necessarily in the familiar annual winter patterns of
interpandemic years,"
"Once appeared, when do the influenza like diseases occur in subsequent years?","confronted by the selection pressures of population immu-
nity, these pandemic Viruses begin to drift genetically and
eventually settle into a pattern of annual epidemic recur-
rences caused by the drifted Virus variants."
When did the first wave of the H1N1 swine flu (Spanish Influenza) occur?," a ﬁrst or spring wave
began in March 1918 and spread unevenly through the
United States, Europe, and possibly Asia over the next 6
months"
What was the death rate in the first wave of the 1918 swine flu pandemic?," Illness rates were high, but death rates
in most locales were not appreciably above normal."
When were the second and the third wave of the 1918-1919 swine flu pandemic?," A sec-
ond or fall wave spread globally from September to
November 1918 and was highly fatal. In many nations, a
third wave occurred in early 1919 "
What was the primary difference between the first wave and the 2nd and 3rd wave of the 1918-1919 swine flu pandemic?,"the much higher fre-
quency of complicated, severe, and fatal cases in the last 2
waves."
Why the human influenza viruses do not disappear after herd immunity is developed?,"The occurrence, and to some extent the severity, of recur-
rent annual outbreaks, are driven by Viral antigenic drift,
with an antigenic variant Virus emerging to become domi-
nant"
What are the circumstances that promote the spread of influenza virus?," lower environ-
mental temperatures and human nasal temperatures (bene-
ﬁcial to thermolabile Viruses such as inﬂuenza), optimal
humidity, increased crowding indoors, and imperfect ven-
tilation due to closed windows and suboptimal airﬂow"
Do seasonal temperatures and humidity explain  the appearance of the three waves of the 1918 swine flu?,"such factors cannot explain the 3 pandemic
waves of 1918-1919, which occurred in the spring-sum-
mer, summer—fall, and winter (of the Northern
Hemisphere), respectively. The ﬁrst 2 waves occurred at a
time of year normally unfavorable to inﬂuenza Virus
spread. The second wave caused simultaneous outbreaks
in the Northern and Southern Hemispheres from
September to November. "
Which virus samples  from the 1918 swine flu pandemic have been identified?,"pandemic Virus samples we have
yet identiﬁed are from second-wave patients"
Are viruses in the first and third waves of the 1918 swine flu pandemic same or derived from the virus from the second wave of the swine flu?,"nothing
can yet be said about whether the ﬁrst (spring) wave, or for
that matter, the third wave, represented circulation of the
same Virus or variants of it"
Was the 1918 swine flu virus novel to humans are was it derived from older viruses?,"Viral sequence data now suggest that the entire 1918
Virus was novel to humans in, or shortly before, 1918, and
that it thus was not a reassortant Virus produced from old
existing strains that acquired 1 or more new genes"
Do avian flu viruses change over long periods?,"Inﬂuenza Virus gene
sequences from a number ofﬁxed specimens ofwild birds
collected circa 1918 show little difference from avian
Viruses isolated today, indicating that avian Viruses likely
undergo little antigenic change in their natural hosts even
over long periods"
What  is the typical age profile of mortality in Influenza diseases?,"The curve of inﬂuenza deaths by age at death has histor-
ically, for at least 150 years, been U-shaped (Figure 2),
exhibiting mortality peaks in the very young and the very
old, with a comparatively low frequency of deaths at all
ages in between"
What was the age profile of mortality in the 1918 swine flu?,"age-speciﬁc death rates in the
1918 pandemic exhibited a distinct pattern that has not been
documented before or since: a “W—shaped” curve, similar to
the familiar U-shaped curve but with the addition of a third
(middle) distinct peak of deaths in young adults z20410
years of age"
Which age group was most susceptible to die during the 1918 swine flu pandemic?,"Persons 65 years of age in 1918 had a dispro-
portionately high inﬂuenza incidence"
What was the death rate among children during the 1918 swine flu pandemic?,"those 5 to 14
years of age accounted for a disproportionate number of
inﬂuenza cases, but had a much lower death rate from
inﬂuenza and pneumonia than other age groups. "
What theory provides partial explanation for the age-specific profile of the death rate in the 1918 swine flu pandemic?," the 1918 Virus had an intrinsically high Virulence, tem-
pered only in those patients who had been born before
1889, e.g., because of exposure to a then-circulating Virus
capable of providing partial immunoprotection against the
1918 Virus strain only in persons old enough (>35 years) to
have been infected during that prior era "
Is there a difference in the pathologic feature and course of disease between modern influenza pandemics and the 1918 swine flu pandemic?," the 1918
pandemic was different in degree, but not in kind, from
previous and subsequent pandemics. Despite the extraordi-
nary number of global deaths, most inﬂuenza cases in
1918 (>95% in most locales in industrialized nations) were
mild and essentially indistinguishable from inﬂuenza cases
today. "
Could the 1918 swine flu virus been controlled  by modern day drugs or vaccines?,"the 1918 and 1918-like Viruses would be
as sensitive as other typical Virus strains to the Food and
Drug Administrationiapproved antiinﬂuenza drugs riman-
tadine and oseltamivir."
Why was there such a high death rate in the 19118 swine flu pandemic?,"Clinically and pathologically, these
high death rates appear to be the result of several factors,
including a higher proportion of severe and complicated
infections of the respiratory tract, rather than involvement
of organ systems outside the normal range of the inﬂuenza
Virus. Also, the deaths were concentrated in an unusually
young age group"
Is the molecular basis of human adaptation of a virus understood?,"While data bearing
on inﬂuenza Virus human cell adaptation (e.g., receptor
binding) are beginning to be understood at the molecular
level, the basis for Viral adaptation to efﬁcient human-to-
human spread, the chief prerequisite for pandemic emer-
gence, is unknown for any inﬂuenza Virus."
What  was the initial growth phase pattern?,exponential growth pattern
What was the result of under-reporting?,469 (95% CI: 403&minus;540) unreported cases from 1 to 15 Januar
What is R0?,"basic reproduction number,"
What  is likely increase of the reporting rate after the 17th January 2020?,reased 21-fold (95% CI: 18
What is the estimated value of R0?,019-nCoV at 2.56 (95% CI
What is the likely period of under-reporting?, to have occurred during the first ha
Where and when was 2019-nCOV first identified?,"s first identified in Wuhan, China"
What  are some of the symptoms caused by the virus?,"ymptoms including fever, cough, and sh"
What was the cumulative number of reported cases by 1 January 2020?,sed
"As of 26 January 2020, what had the outbreak resulted in?",k had resulted in 2066 (618 of them are in Wuhan) confirmed cases and 56 (45 of them were in Wuhan) deaths in 
"As of 26 January 2020, what countries had sporadic cases?"," were reported in Thailand, Japan, Republic of Korea, Hong Kong, Taiwan, Australia, and"
What was the result  of the Imperial College estimation?,"at there had been 4000 (95%CI: 1000-9700) cases in Wuhan with symptoms onset by 18 January 2020, and the basic reproduction number (R 0 ) was estimated at 2.6 (95"
Who release the time series data from 10th  to 20th January 2020?,y released by the Wuhan Municipal 
Who released the time series data from after 21st January 2020?,", and later by the National Health C"
How was the epidemic curve modelled?,", the C i series, as an exponential growi"
How was the epidemic curve modeled?,", the C i series, as an exponential growin"
What study  is reported in this report?,bioinformatics analysis on a virus genome from a patient with 2019-nCoV infection and compared it with other related coronavirus genomes.
How does the genome of 2019-vCOV compare with   SARS like viruses and SARS-COV?,"Overall, the genome of 2019-nCoV has 89% nucleotide identity with bat SARS-like-CoVZXC21 and 82% with that of human SARS-CoV. The phylogenetic trees of their orf1a/b, Spike, Envelope, Membrane and Nucleoprotein also clustered closely with those of the bat, civet and human SARS coronaviruses."
How different is it from SARS-related viruses?,the external subdomain of Spike’s receptor binding domain of 2019-nCoV shares only 40% amino acid identity with other SARS-related coronaviruses. 
What novel features does the genome have?," its orf3b encodes a completely novel short protein. Furthermore, its new orf8 likely encodes a secreted protein with an alpha-helix, following with a beta-sheet(s) containing six strands."
 What is important for understanding the origin and evolution of this novel lineage B betacoronavirus.,"Learning from the roles of civet in SARS and camel in MERS, hunting for the animal source of 2019-nCoV and its more ancestral virus"
What are Coronaviruses?,"Coronaviruses (CoVs) are enveloped, positive-sense, single-stranded RNA viruses that belong to the subfamily Coronavirinae, family Coronavirdiae, order Nidovirales."
What are four generas?,"Alphacoronavirus (αCoV), Betacoronavirus (βCoV), Deltacoronavirus (δCoV), and Gammacoronavirus (γCoV) "
What do  evolutionary analyses show?," that bats and rodents are the gene sources of most αCoVs and βCoVs, while avian species are the gene sources of most δCoVs and γCoVs."
What are the examples that have emerged as human pathogens?,"severe acute respiratory syndrome CoV (SARS-CoV) which emerged in China in 2002-2003 to cause a large-scale epidemic with about 8000 infections and 800 deaths, and Middle East respiratory syndrome CoV (MERS-CoV) which has caused a persistent epidemic in the Arabian Peninsula since 2012"
Where did these viruses originate before crossing the barrier to infect humans?,these viruses have likely originated from bats and then jumped into another amplification mammalian host [the Himalayan palm civet (Paguma larvata) for SARS-CoV and the dromedary camel (Camelus dromedarius) for MERS-CoV] 
What COVs were known to infect humans before December 2019?,"6 CoVs were known to infect human, including 2 αCoV (HCoV-229E and HKU-NL63) and 4 βCoV (HCoV-OC43 [ "
What do HCoV-OC43 and HCoV-HKU1 cause?,self-limiting upper respiratory infections in immunocompetent hosts and occasionally lower respiratory tract infections in immunocompromised hosts and elderly 
What is the contrast with SARS-COV and MERS=COV?," SARS-CoV (lineage B βCoV) and MERS-CoV (lineage C βCoV) may cause severe lower respiratory tract infection with acute respiratory distress syndrome and extrapulmonary manifestations, such as diarrhea, lymphopenia, deranged liver and renal function tests, and multiorgan dysfunction syndrome, among both immunocompetent and immunocompromised hosts with mortality rates of ∼10% and ∼35%, respectively "
What was the authors' recent report on?,a familial cluster of 2019-nCoV infection in a Shenzhen family with travel history to Wuhan 
What is analyzed in this study?,a 2019-nCoV complete genome from a patient in this familial cluster and compared it with the genomes of related βCoVs to provide insights into the potential source and control strategies.
What genome sequence was available for this study?,2019-nCoV HKU-SZ-005b was available at GenBank (accession no. MN975262)
What strains were included in  this study?,"strains collected from human, bats, and Himalayan palm civet between 2003 and 2018, with one 229E coronavirus strain as the outgroup."
How was the Phylogenetic construction done?," by the neighbour joining method was performed using MEGA X software, with bootstrap values being calculated from 1000 trees"
How were the evolutionary distances computed?,using the Poisson correction method and were in the units of the number of amino acid substitutions per site [
How was the structural analysis of orf8 done?,using PSI-blast-based secondary structure PREDiction (PSIPRED) 
What was done for the prediction of protein secondary structures?, initial amino acid sequences were input and analysed using neural networking and its own algorithm. 
What is  the RNA of the 2019-nCOV?,"29891 nucleotides in size, encoding 9860 amino acids"
What was the G+C content?,38%
How are 2019-nCOV and SARS-COV similar?,There are no remarkable differences between the orfs and nsps
Where is the major distinction?," in orf3b, Spike and orf8 but especially variable in Spike S1 and orf8 which were previously shown to be recombination hot spots."
What do the S1 and S2 subunits of spike glycoprotein contain?,"The S1 subunit contains a signal peptide, followed by an N-terminal domain (NTD) and receptor-binding domain (RBD), while the S2 subunit contains conserved fusion peptide (FP), heptad repeat (HR) 1 and 2, transmembrane domain (TM), and cytoplasmic domain (CP)."
What are the chacateristics of the S2 subunit?,S2 subunit of 2019-nCoV is highly conserved and shares 99% identity with those of the two bat SARS-like CoVs (SL-CoV ZXC21 and ZC45) and human SARS-CoV 
What would be the benefit of the identity of the S2 unit?, the broad spectrum antiviral peptides against S2 would be an important preventive and treatment modality for testing in animal models before clinical trials 
How do the S1 subunits compare with that of SARS-likeCOV and human SARS-COV?,"Though the S1 subunit of 2019-nCoV shares around 70% identity to that of the two bat SARS-like CoVs and human SARS-CoV (Figure 3(A) ), the core domain of RBD (excluding the external subdomain) are highly conserved ("
Where are the amino acid differences?,"Most of the amino acid differences of RBD are located in the external subdomain,"
What is responsible for the interaction with  host receptor?," the external subdomain,"
what will the investigation of external subdomain reveal?,"its receptor usage, interspecies transmission and pathogenesis."
How do most bat SARSr-COV differ from 2019-nCOV and  human SARS-COV?,bat SARSr-CoVs have two stretches of deletions in the spike receptor binding domain (RBD) when compared with that of human SARS-CoV
