编号,持续时间,数量,内容
1,2022/8/27 14:07-2022/8/27 14:07,1,  收到[Fight]
1,2022/8/27 17:00-2022/8/27 17:01,2,  [转发的网页]   @所有人?本周日晚间继续核酸大筛，具体另行通知。
1,2022/8/28 11:32-2022/8/28 11:34,2,images\[00136]2022-08-28 11-32-50   收到[Fight]
1,2022/8/28 12:33-2022/8/28 12:33,1,  收到，謝謝您。
1,2022/8/28 13:55-2022/8/28 13:57,2,"  @所有人
8月28日（今天）晚上暂定19:00时进行全小区全员核酸筛查，具体时间看采样人员到岗情况。
1、在采样时段实行“严格”封闭管理，采样结束后即解除封闭。今日做过核酸的人员可以不参加全员筛查，但请在楼组群内报备并将结果发在楼组群里。
2、明确不参加核酸筛查人员：混管阳性待复核者、抗原检测阳性待复核者、出院/出舱的人员。密接在居家隔离观察期间的人员。接种新冠疫苗48小时内的人员。
3、严格执行10合1混采，使用核酸码或身份证，请听到叫号再下楼。
4、严格遵守“2米线”间距、做好个人防护，做完核酸不要停留，不要随地吐痰！！！
谢谢！[Fight][Fight]   收到，謝謝您。"
1,2022/8/28 16:12-2022/8/28 16:16,4,  [转发的网页] images\[00137]2022-08-28 16-12-58   @所有人?下周一、周三晚间继续核酸大筛，具体另行通知。   收到，谢谢您。
1,2022/8/28 18:56-2022/8/28 18:56,1,[点击播放语音]
1,2022/8/29 15:09-2022/8/29 15:09,1,"  @所有人
8月29日（今天）晚上暂定19:00时进行全小区全员核酸筛查，具体时间看采样人员到岗情况。
1、在采样时段实行“严格”封闭管理，采样结束后即解除封闭。今日做过核酸的人员可以不参加全员筛查，但请在楼组群内报备并将结果发在楼组群里。
2、明确不参加核酸筛查人员：混管阳性待复核者、抗原检测阳性待复核者、出院/出舱的人员。密接在居家隔离观察期间的人员。接种新冠疫苗48小时内的人员。
3、严格执行10合1混采，使用核酸码或身份证，请听到叫号再下楼。
4、严格遵守“2米线”间距、做好个人防护，做完核酸不要停留，不要随地吐痰！！！
谢谢！[Fight][Fight]"
1,2022/8/29 15:37-2022/8/29 15:37,1,  收到[Fight]
1,2022/8/29 16:39-2022/8/29 16:39,1,  收到，谢谢您。
1,2022/8/29 17:07-2022/8/29 17:07,1,  好滴
1,2022/8/29 18:57-2022/8/29 18:57,1,[点击播放语音]
1,2022/8/31 14:46-2022/8/31 14:47,2,"  @所有人
8月31日（今天）晚上暂定19:00时进行全小区全员核酸筛查，具体时间看采样人员到岗情况。
1、在采样时段实行“严格”封闭管理，采样结束后即解除封闭。今日做过核酸的人员可以不参加全员筛查，但请在楼组群内报备并将结果发在楼组群里。
2、明确不参加核酸筛查人员：混管阳性待复核者、抗原检测阳性待复核者、出院/出舱的人员。密接在居家隔离观察期间的人员。接种新冠疫苗48小时内的人员。
3、严格执行10合1混采，使用核酸码或身份证，请听到叫号再下楼。
4、严格遵守“2米线”间距、做好个人防护，做完核酸不要停留，不要随地吐痰！！！
谢谢！[Fight][Fight]   好滴"
1,2022/8/31 15:03-2022/8/31 15:03,1,  收到[Fight]
1,2022/8/31 17:04-2022/8/31 17:04,1,  收到，谢谢您。
1,2022/8/31 21:00-2022/8/31 21:00,1,images\[00138]2022-08-31 21-00-13
1,2022/9/1 20:01-2022/9/1 20:13,4,  [转发的网页]   @所有人?本周日上午继续核酸大筛，具体另行通知。   收到[Fight]   收到[OK]
1,2022/9/1 21:38-2022/9/1 21:38,1,  收到[Fight]
1,2022/9/2 6:52-2022/9/2 6:52,1,  收到，谢谢您
1,2022/9/3 14:03-2022/9/3 14:03,1,  @所有人???今天晚上常态化核酸暂停。??
1,2022/9/3 14:16-2022/9/3 14:16,1,  [OK]
1,2022/9/3 16:42-2022/9/3 16:42,2,"  @所有人
9月4日（明天）??早上暂定7:00时??进行全小区全员核酸筛查，具体时间看采样人员到岗情况。
1、在采样时段实行“严格”封闭管理，采样结束后即解除封闭。今日做过核酸的人员可以不参加全员筛查，但请在楼组群内报备并将结果发在楼组群里。
2、明确不参加核酸筛查人员：混管阳性待复核者、抗原检测阳性待复核者、出院/出舱的人员。密接在居家隔离观察期间的人员。接种新冠疫苗48小时内的人员。
3、严格执行10合1混采，使用核酸码或身份证，请听到叫号再下楼。
4、严格遵守“2米线”间距、做好个人防护，做完核酸不要停留，不要随地吐痰！！！
谢谢！[Fight][Fight]   @所有人???注意采样时间哦??"
1,2022/9/3 16:56-2022/9/3 17:03,2,  收到[Fight]   收到，谢谢您
1,2022/9/4 7:01-2022/9/4 7:01,1,[点击播放语音]
1,2022/9/5 19:09-2022/9/5 19:10,2,"  @所有人?                                                                温馨提示

       据气象部门预测，今年11号台风“轩岚诺”来临,为了尽可能减少损失,防患于未然,温馨提醒大家,出门时关好门窗,注意人身安全。将阳台上易落的物品摆放至安全位置,并检查自家安装在户外的晒衣架、花架、遮阳棚、空调外机等构筑物是否牢固,并安善保管好自家财物。
谢谢您的配合!

   "
1,2022/9/6 14:02-2022/9/6 14:06,4,  @毛头?物业的报修电话有吗？ images\[00139]2022-09-06 14-04-45   65103284   @304?@毛头?谢谢二位[Rose][Fight]
1,2022/9/6 21:15-2022/9/6 21:15,2,  [转发的网页]   @所有人?本周四、周日晚间继续核酸大筛，具体另行通知。
1,2022/9/6 22:19-2022/9/6 22:19,1,  收到[Fight]
1,2022/9/7 7:41-2022/9/7 7:41,1,  收到
1,2022/9/7 14:03-2022/9/7 14:03,1,  收到，谢谢你。
1,2022/9/8 13:08-2022/9/8 13:08,1,"  @所有人
9月8日（今天）晚上暂定19:00时进行全小区全员核酸筛查，具体时间看采样人员到岗情况。
1、在采样时段实行“严格”封闭管理，采样结束后即解除封闭。今日做过核酸的人员可以不参加全员筛查，但请在楼组群内报备并将结果发在楼组群里。
2、明确不参加核酸筛查人员：混管阳性待复核者、抗原检测阳性待复核者、出院/出舱的人员。密接在居家隔离观察期间的人员。接种新冠疫苗48小时内的人员。
3、严格执行10合1混采，使用核酸码或身份证，请听到叫号再下楼。
4、严格遵守“2米线”间距、做好个人防护，做完核酸不要停留，不要随地吐痰！！！
谢谢！[Fight][Fight]"
1,2022/9/8 13:43-2022/9/8 13:43,1,  收到
1,2022/9/8 13:58-2022/9/8 14:01,2,  收到[Fight]   收到，谢谢您。
1,2022/9/8 18:51-2022/9/8 18:56,3,"[点击播放语音]   You invited    Note: ""高六百-1128"" is not friends with anyone else in this group chat."
1,2022/9/9 16:51-2022/9/9 16:51,1,  [转发的网页]
1,2022/9/11 14:53-2022/9/11 15:06,4,"  @所有人
9月11日（今天）晚上暂定19:00时进行全小区全员核酸筛查，具体时间看采样人员到岗情况。
1、在采样时段实行“严格”封闭管理，采样结束后即解除封闭。今日做过核酸的人员可以不参加全员筛查，但请在楼组群内报备并将结果发在楼组群里。
2、明确不参加核酸筛查人员：混管阳性待复核者、抗原检测阳性待复核者、出院/出舱的人员。密接在居家隔离观察期间的人员。接种新冠疫苗48小时内的人员。
3、严格执行10合1混采，使用核酸码或身份证，请听到叫号再下楼。
4、严格遵守“2米线”间距、做好个人防护，做完核酸不要停留，不要随地吐痰！！！
谢谢！[Fight][Fight]   收到，谢谢您。   收到[Fight]   好滴"
1,2022/9/11 19:47-2022/9/11 19:49,3,  今天还做核酸吗？   做的   已经开始了
1,2022/9/13 19:44-2022/9/13 19:46,3,  @所有人???本周四晚间、周日上午??继续核酸大筛，具体另行通知。   [转发的网页]   收到
1,2022/9/15 14:24-2022/9/15 14:25,2,"  @所有人
9月15日（今天）晚上暂定19:00时进行全小区全员核酸筛查，具体时间看采样人员到岗情况。
1、在采样时段实行“严格”封闭管理，采样结束后即解除封闭。今日做过核酸的人员可以不参加全员筛查，但请在楼组群内报备并将结果发在楼组群里。
2、明确不参加核酸筛查人员：混管阳性待复核者、抗原检测阳性待复核者、出院/出舱的人员。密接在居家隔离观察期间的人员。接种新冠疫苗48小时内的人员。
3、严格执行10合1混采，使用核酸码或身份证，请听到叫号再下楼。
4、严格遵守“2米线”间距、做好个人防护，做完核酸不要停留，不要随地吐痰！！！
谢谢！[Fight][Fight]   收到，谢谢您。"
1,2022/9/15 14:39-2022/9/15 14:39,1,  收到[Fight]
1,2022/9/15 15:25-2022/9/15 15:25,1,  收到[Fight]
1,2022/9/15 18:55-2022/9/15 18:55,1,[点击播放语音]
1,2022/9/17 11:22-2022/9/17 11:32,3,  @所有人?今天晚上常态化核酸检测取消。   [OK]   收到，謝謝您。
1,2022/9/17 17:53-2022/9/17 17:59,2,"  @所有人
9月18日（明天）??早上暂定7:30时??进行全小区全员核酸筛查，具体时间看采样人员到岗情况。
1、在采样时段实行“严格”封闭管理，采样结束后即解除封闭。今日做过核酸的人员可以不参加全员筛查，但请在楼组群内报备并将结果发在楼组群里。
2、明确不参加核酸筛查人员：混管阳性待复核者、抗原检测阳性待复核者、出院/出舱的人员。密接在居家隔离观察期间的人员。接种新冠疫苗48小时内的人员。
3、严格执行10合1混采，使用核酸码或身份证，请听到叫号再下楼。
4、严格遵守“2米线”间距、做好个人防护，做完核酸不要停留，不要随地吐痰！！！
谢谢！[Fight][Fight]   收到[Fight]"
1,2022/9/17 19:08-2022/9/17 19:08,1,  收到，谢谢您。
1,2022/9/17 19:49-2022/9/17 19:49,1,  收到[Fight]
1,2022/9/19 16:03-2022/9/19 16:12,10,  @毛头?阿姨，我们一号楼走廊里面的窗户好几扇窗都破了/被台风吹坏了，有几块玻璃荡在当中，可以找物业一起来上门看一下吗？   我已经报修过了。   物业有记录   好的，那他们会来吗[Facepalm]   要看物业怎么安排了[Facepalm]   物业电话有伐，我也再打一个 images\[00140]2022-09-19 16-10-44 images\[00141]2022-09-19 16-10-44   两楼三楼的玻璃看着哈牢牢的   65103284
1,2022/9/19 19:31-2022/9/19 19:33,3,  [转发的网页]   @所有人???本周三晚间、周日上午??继续核酸大筛，具体另行通知。   [OK]
1,2022/9/22 14:14-2022/9/22 14:15,5,  @404 雁雁?你的快递送到我家来了   好的 那我下班来拿[Grin]   你在家不？给你放门口可以吗？   放门口可以的，我不在家   好的
1,2022/9/22 16:50-2022/9/22 16:50,1,  有人看到我们家快递吗？快递员可能送错了。
1,2022/9/22 17:03-2022/9/22 17:03,1,  没有看到
1,2022/9/22 18:11-2022/9/22 18:27,14,"  @503? 你再打电话给快递，送到那家了？   @404 雁雁?
 过道玻璃物业都换了。   对的，物业和我说啦   昨天换的   对的
    我签字的   好的 谢谢楼组长   大家的事，不用谢的[Fight]   我在403门口找到了。   快递员为了速度，楼层算错了[Facepalm]   对的，今天他四楼送到三楼，五楼送到了四楼   [Facepalm]   外国快递员   哈哈哈哈……"
1,2022/9/23 11:29-2022/9/23 11:42,7,"  @友谊? 你今年几岁？   68岁   哦哦
 因为马上要敬老节了，70岁有东西发。我不知道你的岁数，万一漏掉没意思的[Facepalm]所以问你一下[Fight]   好的，   没事   @所有人?  如果家人有70岁的，马上报给我哦[Fight]
  因为马上要敬老节了[Fight]
    @所有人? 70岁以上的[Fight]"
1,2022/9/23 12:14-2022/9/23 12:15,2,  毛头谢谢您对老年人关??1号301室俩位老人，陈开太，82岁，周燕75岁。谢谢您关??   收到
1,2022/9/24 15:26-2022/9/24 15:26,1,"  @所有人
9月25日（明天）??早上暂定7:30时??进行全小区全员核酸筛查，具体时间看采样人员到岗情况。
1、在采样时段实行“严格”封闭管理，采样结束后即解除封闭。今日做过核酸的人员可以不参加全员筛查，但请在楼组群内报备并将结果发在楼组群里。
2、明确不参加核酸筛查人员：混管阳性待复核者、抗原检测阳性待复核者、出院/出舱的人员。密接在居家隔离观察期间的人员。接种新冠疫苗48小时内的人员。
3、严格执行10合1混采，使用核酸码或身份证，请听到叫号再下楼。
4、严格遵守“2米线”间距、做好个人防护，做完核酸不要停留，不要随地吐痰！！！
谢谢！[Fight][Fight]"
1,2022/9/24 15:41-2022/9/24 15:42,2,  收到[Fight]   收到，谢谢您。
1,2022/9/25 13:38-2022/9/25 13:49,4,  请问5，6楼是有住户在装修吗？   没有嘛   一直听到敲墙壁的声音   楼上敲墙壁的声音是那一家，希望做好安全，打招呼是那家。
1,2022/9/27 22:01-2022/9/27 22:01,2,  [转发的网页]   @所有人???本周三晚间7:00时??继续核酸大筛，具体另行通知。
1,2022/9/27 22:27-2022/9/27 22:27,1,  收到谢谢了
1,2022/9/28 6:53-2022/9/28 6:53,1,  收到，谢谢您。
1,2022/9/28 7:08-2022/9/28 7:08,1,  收到[Fight]
1,2022/9/28 15:00-2022/9/28 15:00,1,"  @所有人
9月28日（今天）晚上暂定19:00时进行全小区全员核酸筛查，具体时间看采样人员到岗情况。
1、在采样时段实行“严格”封闭管理，采样结束后即解除封闭。今日做过核酸的人员可以不参加全员筛查，但请在楼组群内报备并将结果发在楼组群里。
2、明确不参加核酸筛查人员：混管阳性待复核者、抗原检测阳性待复核者、出院/出舱的人员。密接在居家隔离观察期间的人员。接种新冠疫苗48小时内的人员。
3、严格执行10合1混采，使用核酸码或身份证，请听到叫号再下楼。
4、严格遵守“2米线”间距、做好个人防护，做完核酸不要停留，不要随地吐痰！！！
谢谢！[Fight][Fight]"
1,2022/9/28 15:11-2022/9/28 15:21,2,  收到[Fight]   收到[Fight]
1,2022/9/28 16:06-2022/9/28 16:06,1,  收到，谢谢您。
1,2022/9/28 18:39-2022/9/28 18:39,1,  
1,2022/9/30 15:08-2022/9/30 15:10,3,  [转发的网页]   @所有人???10月2日（周日）晚间、10月7日（周五）上午??继续核酸大筛，具体另行通知。   收到[Fight]
1,2022/9/30 19:24-2022/9/30 19:24,1,  收到，谢谢您。
1,2022/10/1 7:08-2022/10/1 7:08,1,  
1,2022/10/1 8:29-2022/10/1 8:29,1,  
1,2022/10/2 14:37-2022/10/2 14:37,1,"  @所有人
10月2日（今天）晚上暂定19:00时进行全小区全员核酸筛查，具体时间看采样人员到岗情况。
1、在采样时段实行“严格”封闭管理，采样结束后即解除封闭。今日做过核酸的人员可以不参加全员筛查，但请在楼组群内报备并将结果发在楼组群里。
2、明确不参加核酸筛查人员：混管阳性待复核者、抗原检测阳性待复核者、出院/出舱的人员。密接在居家隔离观察期间的人员。接种新冠疫苗48小时内的人员。
3、严格执行10合1混采，使用核酸码或身份证，请听到叫号再下楼。                                         4、检查核酸码是否过期，如过期请及时更新核酸码。
5、严格遵守“2米线”间距、做好个人防护，做完核酸不要停留，不要随地吐痰！！！
谢谢！[Fight][Fight]   "
1,2022/10/4 9:31-2022/10/4 9:32,2,images\[00142]2022-10-04 09-31-22   
1,2022/10/4 18:02-2022/10/4 18:06,3,  @所有人???重要通知：10月5日晚上7:00时增加一次核酸大筛。??   收到，谢谢您。   收到[Fight]
1,2022/10/4 19:00-2022/10/4 19:00,1,  [转发的网页]
1,2022/10/5 18:55-2022/10/5 18:55,1,[点击播放语音]
1,2022/10/6 14:32-2022/10/6 14:32,1,"  @所有人
10月7日（明天）上午暂定7:30时进行全小区全员核酸筛查，具体时间看采样人员到岗情况。
1、在采样时段实行“严格”封闭管理，采样结束后即解除封闭。今日做过核酸的人员可以不参加全员筛查，但请在楼组群内报备并将结果发在楼组群里。
2、明确不参加核酸筛查人员：混管阳性待复核者、抗原检测阳性待复核者、出院/出舱的人员。密接在居家隔离观察期间的人员。接种新冠疫苗48小时内的人员。
3、严格执行10合1混采，使用核酸码或身份证，请听到叫号再下楼。                                         4、检查核酸码是否过期，如过期请及时更新核酸码。
5、严格遵守“2米线”间距、做好个人防护，做完核酸不要停留，不要随地吐痰！！！
谢谢！[Fight][Fight]   "
1,2022/10/6 15:00-2022/10/6 15:00,1,  收到[Fight]
1,2022/10/6 20:35-2022/10/6 20:35,1,  收到，谢谢您。
1,2022/10/7 15:14-2022/10/7 15:32,3,  @所有人???10月8日（周六）晚间、10月9日（周日）晚间继续核酸大筛，具体另行通知。   收到，謝謝您。   收到[Fight]
1,2022/10/7 16:07-2022/10/7 16:07,1,  收到[Fight]
1,2022/10/8 13:30-2022/10/8 13:31,2,"  @所有人
10月8日（今天）晚上暂定19:00时进行全小区全员核酸筛查，具体时间看采样人员到岗情况。
1、在采样时段实行“严格”封闭管理，采样结束后即解除封闭。今日做过核酸的人员可以不参加全员筛查，但请在楼组群内报备并将结果发在楼组群里。
2、明确不参加核酸筛查人员：混管阳性待复核者、抗原检测阳性待复核者、出院/出舱的人员。次密接在居家隔离观察期间的人员。接种新冠疫苗48小时内的人员。
3、严格执行10合1混采，使用核酸码或身份证，请听到叫号再下楼。                                         4、检查核酸码是否过期，如过期请及时更新核酸码。
5、严格遵守“2米线”间距、做好个人防护，做完核酸不要停留，不要随地吐痰！！！
谢谢！[Fight][Fight]      收到，谢谢您。"
1,2022/10/8 14:57-2022/10/8 15:08,5,"  ""102阿姨"" recalled a message   收到谢谢   ""102阿姨"" recalled a message   ""102阿姨"" recalled a message   各位邻居: 
 今晚核酸检测是五合一混采。
 也就是说: 五个人一根管子[Fight]"
1,2022/10/8 15:23-2022/10/8 15:23,1,  收到[Fight]
1,2022/10/8 19:52-2022/10/8 19:52,1,  [转发的网页]
1,2022/10/9 14:41-2022/10/9 14:41,1,"  @所有人
10月9日（今天）晚上暂定19:00时进行全小区全员核酸筛查，具体时间看采样人员到岗情况。
1、在采样时段实行“严格”封闭管理，采样结束后即解除封闭。今日做过核酸的人员可以不参加全员筛查，但请在楼组群内报备并将结果发在楼组群里。
2、明确不参加核酸筛查人员：混管阳性待复核者、抗原检测阳性待复核者、出院/出舱的人员。次密接在居家隔离观察期间的人员。接种新冠疫苗48小时内的人员。
3、严格执行5合1混采，使用核酸码或身份证，请听到叫号再下楼。                                         4、检查核酸码是否过期，如过期请及时更新核酸码。
5、严格遵守“2米线”间距、做好个人防护，做完核酸不要停留，不要随地吐痰！！！
谢谢！[Fight][Fight]   "
1,2022/10/9 14:55-2022/10/9 14:55,1,  收到[Fight]
1,2022/10/9 18:23-2022/10/9 18:23,1,  收到，谢谢您。
1,2022/10/10 18:00-2022/10/10 18:01,4,  [转发的网页]   @所有人???10月11日（周二）晚间、10月13日（周四）??晚间继续核酸大筛，具体另行通知。   收到[Fight]   收到，谢谢您。
1,2022/10/10 18:40-2022/10/10 18:40,1,   收到
1,2022/10/11 7:02-2022/10/11 7:05,3,images\[00143]2022-10-11 07-02-36   @好久不见?请不要乱发与楼组无关的信息哦！   不好意思 ，
1,2022/10/11 14:21-2022/10/11 14:21,1,"  @所有人
10月11日（今天）晚上暂定19:00时进行全小区全员核酸筛查，具体时间看采样人员到岗情况。
1、在采样时段实行“严格”封闭管理，采样结束后即解除封闭。今日做过核酸的人员可以不参加全员筛查，但请在楼组群内报备并将结果发在楼组群里。
2、明确不参加核酸筛查人员：混管阳性待复核者、抗原检测阳性待复核者、出院/出舱的人员。密接、次密接在居家隔离观察期间的人员。接种新冠疫苗48小时内的人员。
3、严格执行10合1混采，使用核酸码或身份证，请听到叫号再下楼。                                         4、检查核酸码是否过期，如过期请及时更新核酸码。
5、严格遵守“2米线”间距、做好个人防护，做完核酸不要停留，不要随地吐痰！！！
谢谢！[Fight][Fight]   "
1,2022/10/11 15:01-2022/10/11 15:01,1,  [OK]
1,2022/10/12 14:26-2022/10/12 14:43,9,"  @所有人???重要通知：10月12日（今天）晚上7:00时增加一次核酸大筛。??   收到，谢谢您。   收到[Fight]   ""友谊"" recalled a message   收到[Fight]   [Rose]   @毛头?收到   [Fight]   好滴"
1,2022/10/13 14:25-2022/10/13 14:27,3,"  @所有人
10月13日（今天）晚上暂定19:00时进行全小区全员核酸筛查，具体时间看采样人员到岗情况。
1、在采样时段实行“严格”封闭管理，采样结束后即解除封闭。今日做过核酸的人员可以不参加全员筛查，但请在楼组群内报备并将结果发在楼组群里。
2、明确不参加核酸筛查人员：混管阳性待复核者、抗原检测阳性待复核者、出院/出舱的人员。密接、次密接在居家隔离观察期间的人员。接种新冠疫苗48小时内的人员。
3、严格执行10合1混采，使用核酸码或身份证，请听到叫号再下楼。                                         4、检查核酸码是否过期，如过期请及时更新核酸码。
5、严格遵守“2米线”间距、做好个人防护，做完核酸不要停留，不要随地吐痰！！！
谢谢！[Fight][Fight]      收到[Fight]   收到，谢谢您。"
1,2022/10/13 14:47-2022/10/13 14:47,1,  收到[Fight]
1,2022/10/14 18:43-2022/10/14 18:54,6,  [转发的网页]   @所有人???10月16日（周六）晚间??继续核酸大筛，具体另行通知。   好滴   [OK][Fight]   @所有人?不好意思，日期发错了，应该是15号哦！礼拜六[Awkward]   没事的
1,2022/10/14 20:13-2022/10/14 20:13,1,  收到，谢谢您。
1,2022/10/15 13:45-2022/10/15 13:45,1,"  @所有人
10月15日（今天）晚上暂定19:00时进行全小区全员核酸筛查，具体时间看采样人员到岗情况。
1、在采样时段实行“严格”封闭管理，采样结束后即解除封闭。今日做过核酸的人员可以不参加全员筛查，但请在楼组群内报备并将结果发在楼组群里。
2、明确不参加核酸筛查人员：混管阳性待复核者、抗原检测阳性待复核者、出院/出舱的人员。密接、次密接在居家隔离观察期间的人员。接种新冠疫苗48小时内的人员。
3、严格执行10合1混采，使用核酸码或身份证，请听到叫号再下楼。                                         4、检查核酸码是否过期，如过期请及时更新核酸码。
5、严格遵守“2米线”间距、做好个人防护，做完核酸不要停留，不要随地吐痰！！！
谢谢！[Fight][Fight]   "
1,2022/10/15 14:56-2022/10/15 14:56,1,  [OK]
1,2022/10/16 9:09-2022/10/16 9:09,2,  [转发的网页]   @所有人???10月17日（周一）晚间、10月19日（周三）晚间??继续核酸大筛，具体另行通知。
1,2022/10/17 14:35-2022/10/17 14:35,1,"  @所有人
10月17日（今天）晚上暂定19:00时进行全小区全员核酸筛查，具体时间看采样人员到岗情况。
1、在采样时段实行“严格”封闭管理，采样结束后即解除封闭。今日做过核酸的人员可以不参加全员筛查，但请在楼组群内报备并将结果发在楼组群里。
2、明确不参加核酸筛查人员：混管阳性待复核者、抗原检测阳性待复核者、出院/出舱的人员。密接、次密接在居家隔离观察期间的人员。接种新冠疫苗48小时内的人员。
3、严格执行10合1混采，使用核酸码或身份证，请听到叫号再下楼。                                         4、检查核酸码是否过期，如过期请及时更新核酸码。
5、严格遵守“2米线”间距、做好个人防护，做完核酸不要停留，不要随地吐痰！！！
谢谢！[Fight][Fight]   "
1,2022/10/17 14:59-2022/10/17 14:59,1,  [OK]
1,2022/10/19 14:41-2022/10/19 14:53,3,"  @所有人
10月19日（今天）晚上暂定19:00时进行全小区全员核酸筛查，具体时间看采样人员到岗情况。
1、在采样时段实行“严格”封闭管理，采样结束后即解除封闭。今日做过核酸的人员可以不参加全员筛查，但请在楼组群内报备并将结果发在楼组群里。
2、明确不参加核酸筛查人员：混管阳性待复核者、抗原检测阳性待复核者、出院/出舱的人员。密接、次密接在居家隔离观察期间的人员。接种新冠疫苗48小时内的人员。
3、严格执行10合1混采，使用核酸码或身份证，请听到叫号再下楼。                                         4、检查核酸码是否过期，如过期请及时更新核酸码。
5、严格遵守“2米线”间距、做好个人防护，做完核酸不要停留，不要随地吐痰！！！
谢谢！[Fight][Fight]      收到，謝謝您。   收到[Fight]"
1,2022/10/20 9:05-2022/10/20 9:07,4,  [转发的网页]   @所有人???10月21日（周五）晚间、10月23日（周日）上午??继续核酸大筛，具体另行通知。   收到[Fight]   收到[Fight]
1,2022/10/20 12:07-2022/10/20 12:07,1,  收到，谢谢您。
1,2022/10/20 19:27-2022/10/20 19:27,1,"  @所有人?近期全市范围内发生了多起电动自行车入户充电火灾，请将以下宣传提示内容转发至各消防工作群中：
1、楼道不停车，电瓶不进门拒绝电瓶车入户充电。
2、日常使用时注意电瓶维护保养工作，防止因为磕碰、过充等情况导致热失控引发火灾。
（含锂电池供电相关产品）
3、近期几起火灾中，调查人员发现现场有用铅酸电瓶充电器给锂电池充电的情况，考虑到锂电池充电电流达到阀值后需要及时断电，如果混用充电器，不能及时对电流进行控制，一定程度上也会导致热失控引发火灾。
★以上内容★
请居民朋友们及时自查，消除隐患，避免灾害的发生。"
1,2022/10/21 15:08-2022/10/21 15:16,2,"  @所有人
10月21日（今天）晚上暂定19:00时进行全小区全员核酸筛查，具体时间看采样人员到岗情况。
1、在采样时段实行“严格”封闭管理，采样结束后即解除封闭。今日做过核酸的人员可以不参加全员筛查，但请在楼组群内报备并将结果发在楼组群里。
2、明确不参加核酸筛查人员：混管阳性待复核者、抗原检测阳性待复核者、出院/出舱的人员。密接、次密接在居家隔离观察期间的人员。接种新冠疫苗48小时内的人员。
3、严格执行10合1混采，使用核酸码或身份证，请听到叫号再下楼。                                         4、检查核酸码是否过期，如过期请及时更新核酸码。
5、严格遵守“2米线”间距、做好个人防护，做完核酸不要停留，不要随地吐痰！！！
谢谢！[Fight][Fight]      收到[Fight]"
1,2022/10/21 16:22-2022/10/21 16:22,1,  收到，谢谢您。
1,2022/10/22 18:08-2022/10/22 18:09,4,"  @所有人?现暂定于明天（10月23日）早上7:30小区核酸大筛??请大家耐心等待志愿者大喇叭喊楼。
??特别提醒，混管阳性待复核者、抗原检测阳性待复核者、出院/出舱的人员、密接在居家隔离观察期间的人员、接种新冠疫苗48小时内的人员不参加本次筛查。
今晚常态化核酸暂停开放。   收到谢谢   好滴   收到，谢谢您。"
1,2022/10/22 18:24-2022/10/22 18:24,1,  收到[Fight]
1,2022/10/24 8:32-2022/10/24 8:32,3,  [转发的网页]   @所有人???10月25日（周二）晚间、10月27日（周四）晚间??继续核酸大筛，具体另行通知。   [转发的网页]
1,2022/10/24 12:12-2022/10/24 12:12,1,  收到[Fight]
1,2022/10/24 12:45-2022/10/24 12:45,1,  收到，谢谢您。
1,2022/10/25 10:52-2022/10/25 10:52,1,"  @所有人
10月25日（今天）晚上暂定19:00时进行全小区全员核酸筛查，具体时间看采样人员到岗情况。
1、在采样时段实行“严格”封闭管理，采样结束后即解除封闭。今日做过核酸的人员可以不参加全员筛查，但请在楼组群内报备并将结果发在楼组群里。
2、明确不参加核酸筛查人员：混管阳性待复核者、抗原检测阳性待复核者、出院/出舱的人员。密接、次密接在居家隔离观察期间的人员。接种新冠疫苗48小时内的人员。
3、严格执行10合1混采，使用核酸码或身份证，请听到叫号再下楼。                                         4、检查核酸码是否过期，如过期请及时更新核酸码。
5、严格遵守“2米线”间距、做好个人防护，做完核酸不要停留，不要随地吐痰！！！
谢谢！[Fight][Fight]   "
1,2022/10/26 8:43-2022/10/26 8:47,3,  [转发的网页]   @所有人?今天晚上（10月26日）19:00时?大筛一次。   好的
1,2022/10/26 9:17-2022/10/26 9:17,1,  收到谢谢
1,2022/10/26 10:52-2022/10/26 10:52,2,  收到，谢谢您。   收到
1,2022/10/27 11:05-2022/10/27 11:05,1,  @所有人???温馨提示：10月27日上午在建新卫生站开药的居民请注意，因街道医院被临时封控，故10月27日下午无法取药，何时取药将由卫生站另行通知，请大家相互转告，不便之处请各位居民谅解。
1,2022/10/27 13:24-2022/10/27 13:24,1,images\[00144]2022-10-27 13-24-06
1,2022/10/27 14:21-2022/10/27 14:34,3,"  @所有人
10月27日（今天）晚上暂定19:00时进行全小区全员核酸筛查，具体时间看采样人员到岗情况。
1、在采样时段实行“严格”封闭管理，采样结束后即解除封闭。今日做过核酸的人员可以不参加全员筛查，但请在楼组群内报备并将结果发在楼组群里。
2、明确不参加核酸筛查人员：混管阳性待复核者、抗原检测阳性待复核者、出院/出舱的人员。密接、次密接在居家隔离观察期间的人员。接种新冠疫苗48小时内的人员。
3、严格执行5:1混采，使用核酸码或身份证，请听到叫号再下楼。                                         4、检查核酸码是否过期，如过期请及时更新核酸码。
5、严格遵守“2米线”间距、做好个人防护，做完核酸不要停留，不要随地吐痰！！！
谢谢！[Fight][Fight]      收到[Fight]   收到，谢谢您。"
1,2022/10/28 8:49-2022/10/28 8:50,3,  [转发的网页]   @所有人?今天晚上（10月28日）19:00时?大筛一次。   
1,2022/10/28 9:09-2022/10/28 9:22,3,  收到[Fight]   收到   收到，謝謝您。
