类别,行政区,点评数,口味,环境,服务,人均消费,城市,Lng,Lat
快餐, 松江区,44,7.4,7.3,7.4,15,上海市,121.3309257,31.13417942
咖啡厅, 嘉定区,87,7.9,8.1,8.1,35,上海市,121.330901,31.27053017
川菜, 嘉定区,1,6.9,6.9,6.9,35,上海市,121.3308387,31.25155454
甜点, 嘉定区,50,6.9,7.1,7,16,上海市,121.3307755,31.25636454
北菜, 嘉定区,0,0,0,0,18,上海市,121.3306792,31.26185632
快餐, 闵行区,37,7.3,7.2,7.2,25,上海市,121.3306805,30.75622426
快餐, 嘉定区,44,7.2,7.3,7.2,27,上海市,121.3306195,31.2710165
快餐, 普陀区,16,7.3,7.1,7.2,32,上海市,121.330596,31.24306081
快餐, 松江区,31,7.1,7.1,7,16,上海市,121.3305081,31.1398052
快餐, 闵行区,45,8.1,7.7,7.5,20,上海市,121.3304799,31.15519111
快餐, 松江区,0,0,0,0,15,上海市,121.3304771,31.14034597
北菜, 闵行区,100,8.7,8.7,8.7,44,上海市,121.33047,31.15354199
快餐, 嘉定区,1,6.9,6.9,6.9,19,上海市,121.3303893,31.25627031
川菜, 闵行区,17,7.3,7.2,7.3,108,上海市,121.3302301,31.22857716
烧烤, 嘉定区,321,7.8,8.6,8.1,84,上海市,121.329975,31.27061089
川菜, 松江区,10,7.2,7.2,7.2,50,上海市,121.3298552,31.13333691
火锅, 松江区,29,7.5,7.4,7.5,75,上海市,121.3297873,31.13368186
快餐, 嘉定区,20,7.4,7.3,7.3,48,上海市,121.3297138,31.25652648
快餐, 松江区,1,7.2,7.2,7.2,79,上海市,121.3295488,31.13348442
浙菜, 浦东新区,46,7,6.8,6.8,68,上海市,121.3294941,31.07382963
美食, 松江区,26,7.2,7.2,7.2,36,上海市,121.3293483,31.13338785
浙菜, 嘉定区,251,6.8,6.4,6.1,55,上海市,121.3293277,31.25651223
湘菜, 松江区,28,7.2,7,7.2,48,上海市,121.3287019,31.13222471
常菜, 松江区,8,7.2,7.1,7.1,49,上海市,121.3286471,31.11938479
北菜, 松江区,3,6.9,6.9,6.9,19,上海市,121.3286471,31.11938479
快餐, 嘉定区,16,7.7,7.3,7.7,19,上海市,121.3284772,31.27298074
烧烤, 松江区,13,7,6.8,6.9,36,上海市,121.3284804,31.1317344
料理, 松江区,51,7,6.9,6.8,80,上海市,121.3284525,31.13178642
素菜, 闵行区,45,9,9,9,43,上海市,121.3283349,31.16454232
美食, 普陀区,0,0,0,0,88,上海市,121.3282379,31.29423544
北菜, 嘉定区,15,7.4,7,7,148,上海市,121.3282003,31.34875325
川菜, 松江区,21,7.3,7.1,7.3,41,上海市,121.3281291,31.13266557
浙菜, 松江区,38,7.4,7.2,7.3,66,上海市,121.3279846,31.1189333
川菜, 松江区,137,7.3,7.3,7.3,75,上海市,121.3279634,31.13331953
浙菜, 闵行区,257,7.7,7.4,7.3,69,上海市,121.3279599,30.98807753
快餐, 松江区,33,6.9,7,7.1,18,上海市,121.3279285,31.13336557
浙菜, 松江区,108,0,0,0,85,上海市,121.3278338,31.1327281
火锅, 松江区,246,7.3,7,7,110,上海市,121.3277689,31.13356377
美食, 嘉定区,0,0,0,0,40,上海市,121.3276195,31.2927842
快餐, 松江区,7,7.3,7,7,21,上海市,121.3276282,31.12168648
海鲜, 嘉定区,9,7,7,7,36,上海市,121.3275616,31.29277532
海鲜, 嘉定区,43,6.9,7,7,91,上海市,121.3275616,31.29277532
美食, 松江区,18,7.1,7.1,7.1,40,上海市,121.3275114,31.12200653
火锅, 闵行区,25,6.7,6.5,6.3,48,上海市,121.327349,31.22381788
甜点, 嘉定区,192,7.3,7,7.1,18,上海市,121.3271934,31.29270705
快餐, 松江区,216,7.5,7.4,7.2,31,上海市,121.3271943,31.1324035
西餐, 嘉定区,3,6.9,6.7,6.7,50,上海市,121.3270761,31.26538367
快餐, 松江区,60,6.7,6.8,6.6,20,上海市,121.3270604,31.13471751
快餐, 松江区,30,7.4,7.3,7.3,39,上海市,121.326902,31.13175841
龙虾, 闵行区,69,6.9,6.7,6.8,71,上海市,121.3268579,31.22684041
火锅, 闵行区,31,7.2,7.5,7.1,90,上海市,121.326833,31.22642165
龙虾, 嘉定区,277,8,7.8,7.7,132,上海市,121.3268243,31.29252183
火锅, 松江区,49,7.8,7.6,7.6,53,上海市,121.3268029,31.13511279
湘菜, 嘉定区,50,7,6.8,6.5,64,上海市,121.3267824,31.29256489
浙菜, 嘉定区,59,7.6,7.6,7.8,85,上海市,121.3267588,31.26549823
美食, 长宁区,15,7.4,7.3,7.2,10,上海市,121.3267035,31.18903599
烧烤, 闵行区,44,7.1,6.9,7,103,上海市,121.3266384,31.2266809
海鲜, 闵行区,34,7,7,7.1,23,上海市,121.3265768,31.13119833
料理, 闵行区,17,7.5,7.4,7.4,53,上海市,121.3265064,31.23018053
浙菜, 松江区,34,8,7.7,8.2,86,上海市,121.3265145,31.1355641
美食, 长宁区,16,6.9,6.7,6.7,45,上海市,121.3264571,31.29245456
快餐, 浦东新区,58,7.5,7.8,7.5,33,上海市,121.3263968,31.14775582
甜点, 浦东新区,25,7.7,7.6,7.7,22,上海市,121.3263968,31.14775582
火锅, 松江区,840,7.3,7,7.1,99,上海市,121.3263928,31.13575623
北菜, 松江区,77,7.1,6.9,7,50,上海市,121.3263738,31.13584822
龙虾, 松江区,117,7.8,7.5,7.5,96,上海市,121.3263738,31.13584822
火锅, 松江区,134,7.3,7.6,7.9,131,上海市,121.326303,31.13589733
烧烤, 嘉定区,13,6.9,7.1,7.2,49,上海市,121.3262566,31.29239897
咖啡厅, 嘉定区,61,7.4,8,7.3,35,上海市,121.3262561,31.23982357
咖啡厅, 松江区,23,7.7,7.7,7.7,41,上海市,121.3262614,31.09773132
咖啡厅, 松江区,15,7.7,7.8,7.7,41,上海市,121.3262614,31.09773132
浙菜, 闵行区,14,7.5,7.3,7.3,50,上海市,121.3261713,31.22841399
海鲜, 闵行区,38,7.3,7.3,7.2,58,上海市,121.3261713,31.22841399
北菜, 闵行区,41,7.6,7.8,8,59,上海市,121.3261713,31.22841399
快餐, 闵行区,17,7.3,7.2,7.2,17,上海市,121.3261713,31.22841399
甜点, 闵行区,1,7.5,7.5,7.5,17,上海市,121.3261713,31.22841399
甜点, 闵行区,20,7.4,7.4,7.4,14,上海市,121.3261713,31.22841399
湘菜, 闵行区,49,7.2,7,7.1,43,上海市,121.3261713,31.22841399
美食, 松江区,826,8.3,8.9,7.9,89,上海市,121.3261653,31.13575167
川菜, 松江区,68,7.1,6.9,7,65,上海市,121.3261561,31.1262798
烧烤, 松江区,250,7.9,7.7,8.2,81,上海市,121.3261514,31.13546885
浙菜, 松江区,1428,7.6,7.2,7,72,上海市,121.3261234,31.13543492
美食, 宝山区,2,7.3,7.3,7.3,13,上海市,121.3260816,31.48183162
北菜, 松江区,94,8.2,8.2,8.2,28,上海市,121.3260404,31.12651489
火锅, 松江区,25,7.5,7.4,7.5,92,上海市,121.3260006,31.13637465
火锅, 松江区,150,6.9,6.7,6.7,103,上海市,121.3259887,31.13571802
烧烤, 松江区,83,7.1,7.1,7.3,75,上海市,121.3259777,31.13630373
龙虾, 松江区,32,6.7,6.7,6.8,84,上海市,121.3259147,31.126766
海鲜, 松江区,32,7.1,7.2,7.3,140,上海市,121.325846,31.13586822
湘菜, 松江区,136,7.3,7.3,7.3,66,上海市,121.3258261,31.13591223
海鲜, 松江区,30,7.5,7.1,7.1,63,上海市,121.325821,31.13665984
咖啡厅, 松江区,34,6.6,6.8,6.6,80,上海市,121.3258093,31.13423317
海鲜, 松江区,23,6.8,6.8,6.8,100,上海市,121.3257869,31.12702211
湘菜, 松江区,30,7.4,7.3,7.4,44,上海市,121.3257752,31.13626914
川菜, 松江区,173,7.8,7.6,7.7,61,上海市,121.3257392,31.13682391
快餐, 松江区,16,8,8,8,19,上海市,121.3257015,31.14624096
美食, 嘉定区,4,6.9,6.9,6.9,27,上海市,121.325673,31.29200325
浙菜, 松江区,56,7,6.9,6.9,45,上海市,121.3256345,31.13620044
湘菜, 松江区,21,7,6.8,7,47,上海市,121.3255974,31.12644578
湘菜, 松江区,17,7.3,7.2,7.3,42,上海市,121.3255894,31.12715641
火锅, 松江区,3,7.1,7.1,7.1,35,上海市,121.3255126,31.12651291
烧烤, 松江区,39,7.1,6.9,7,83,上海市,121.3254888,31.13644759
快餐, 闵行区,14,7.5,7.2,7.3,14,上海市,121.3254803,31.22349362
川菜, 松江区,1,6.9,6.9,6.9,50,上海市,121.3254807,31.12657693
粤菜, 松江区,2,6.3,6.3,6.3,66,上海市,121.3253293,31.14658849
快餐, 松江区,27,7.7,7.8,7.7,28,上海市,121.3253293,31.14658849
咖啡厅, 松江区,525,8.1,8.5,7.7,57,上海市,121.3253293,31.14658849
川菜, 闵行区,18,6.6,6.6,6.7,84,上海市,121.3252027,31.22611592
快餐, 闵行区,63,7.3,7.2,7.3,18,上海市,121.3252027,31.22611592
西餐, 松江区,71,8,8.7,8.6,98,上海市,121.3251547,31.14607809
本菜, 松江区,329,8.7,8.2,8.7,93,上海市,121.3250799,31.14658097
本菜, 松江区,172,8.2,8.6,8.6,111,上海市,121.3250799,31.14658097
本菜, 松江区,73,8.1,8.3,8.2,102,上海市,121.3250799,31.14658097
快餐, 松江区,2,7.1,7.1,7.1,16,上海市,121.3250799,31.14658097
川菜, 闵行区,0,0,0,0,65,上海市,121.3248791,31.22993376
浙菜, 闵行区,40,7.1,7,6.8,57,上海市,121.3248302,30.98609471
西餐, 松江区,19,6.4,6.4,6.4,57,上海市,121.3248061,31.12734181
快餐, 嘉定区,8,7.8,7.5,7.8,27,上海市,121.3247011,31.25873511
火锅, 松江区,67,7.5,8,7.4,63,上海市,121.3246752,31.14205915
快餐, 松江区,18,7.3,7.6,7.6,38,上海市,121.3246752,31.14205915
美食, 嘉定区,30,7.6,7.5,7.4,69,上海市,121.3246583,31.25747974
西餐, 松江区,6,7,7,7,15,上海市,121.3246518,31.14671172
快餐, 松江区,77,7.6,7.3,7.2,9,上海市,121.3246384,31.12916315
浙菜, 嘉定区,6,7.2,7.2,7.3,35,上海市,121.3245953,31.29366964
快餐, 嘉定区,6,7.6,7.3,7.6,13,上海市,121.3245953,31.29366964
快餐, 松江区,0,0,0,0,27,上海市,121.3245974,31.1292142
甜点, 松江区,19,7.6,7.6,7.6,12,上海市,121.3245773,31.13116818
浙菜, 松江区,14,7.2,7.5,7.3,68,上海市,121.3245611,31.13405666
甜点, 松江区,54,7.2,7.3,7.1,112,上海市,121.3245314,31.13114628
浙菜, 松江区,148,7.7,8.3,7.9,76,上海市,121.3244055,31.13364618
海鲜, 松江区,414,8.3,8.6,7.9,130,上海市,121.3244055,31.13364618
烧烤, 松江区,12,6.8,6.7,6.9,35,上海市,121.3243842,31.14931086
浙菜, 闵行区,43,7.6,7.7,7.6,53,上海市,121.324304,31.22332695
浙菜, 嘉定区,32,0,0,0,81,上海市,121.3242652,31.29183602
料理, 松江区,27,7.4,7.5,7.4,48,上海市,121.3242648,31.14572799
快餐, 嘉定区,1,7,7.2,6.9,15,上海市,121.3240435,31.2591342
烧烤, 嘉定区,229,8.1,8.2,8.4,71,上海市,121.3240208,31.24487357
疆菜, 嘉定区,2,7,6.9,7,23,上海市,121.3240019,31.25614759
湘菜, 嘉定区,3,6.7,6.7,6.7,22,上海市,121.3239809,31.24482367
浙菜, 宝山区,34,6.8,6.8,6.7,78,上海市,121.3239179,31.39648753
浙菜, 宝山区,399,7.6,8.2,7.3,92,上海市,121.3239179,31.39648753
西餐, 松江区,20,6.8,7.1,7.1,25,上海市,121.3239349,31.12951031
浙菜, 嘉定区,121,6.9,6.9,6.8,79,上海市,121.323859,31.25893664
甜点, 松江区,115,7.2,7.2,6.9,42,上海市,121.3238601,31.12964238
粤菜, 嘉定区,15,7.3,7.2,7.2,28,上海市,121.3238422,31.29172287
川菜, 嘉定区,14,7.4,7.2,7,55,上海市,121.3237714,31.24459917
快餐, 松江区,30,7.4,7.6,7.4,23,上海市,121.3236685,31.14182921
烧烤, 松江区,21,6.7,6.7,6.7,59,上海市,121.3236406,31.13001061
咖啡厅, 闵行区,202,8.9,8.9,8.9,153,上海市,121.3235961,31.19446125
西餐, 松江区,10,7.2,7.2,7.2,30,上海市,121.3234394,31.12568734
甜点, 松江区,14,7.6,7.6,7.6,20,上海市,121.3233388,31.14674423
烧烤, 松江区,989,8.1,8.5,8.5,126,上海市,121.323335,31.14471031
川菜, 嘉定区,59,6.9,6.7,6.9,41,上海市,121.3233175,31.24393035
烧烤, 闵行区,1,7,7,7,51,上海市,121.3232115,31.18819911
快餐, 嘉定区,13,7.7,7.6,7.8,11,上海市,121.3231862,31.25028275
湘菜, 嘉定区,11,7.4,7.1,7.2,60,上海市,121.3231698,31.24380369
浙菜, 闵行区,386,8.3,8.4,7.5,129,上海市,121.323153,31.19637816
粤菜, 闵行区,529,6.9,6.8,6.7,64,上海市,121.323153,31.19637816
粤菜, 闵行区,111,6.3,6.5,6.2,71,上海市,121.323153,31.19637816
粤菜, 闵行区,85,6.4,6.7,6.5,59,上海市,121.323153,31.19637816
快餐, 闵行区,54,7.4,7.7,7.4,45,上海市,121.323153,31.19637816
快餐, 闵行区,268,6.9,7.1,6.8,38,上海市,121.323153,31.19637816
快餐, 闵行区,242,7.7,7.6,7.5,57,上海市,121.323153,31.19637816
快餐, 闵行区,220,6.6,6.9,6.8,34,上海市,121.323153,31.19637816
快餐, 闵行区,177,6.2,6.3,6.1,53,上海市,121.323153,31.19637816
本菜, 闵行区,23,7.9,7.7,7.6,92,上海市,121.323153,31.19637816
料理, 长宁区,77,6.3,7,6.6,79,上海市,121.323153,31.19637816
西餐, 闵行区,136,6.8,6.6,6.2,32,上海市,121.323153,31.19637816
西餐, 闵行区,102,7.3,7.1,7,25,上海市,121.323153,31.19637816
甜点, 闵行区,118,7.6,8,7.9,48,上海市,121.323153,31.19637816
甜点, 闵行区,148,7.8,7.7,7.7,20,上海市,121.323153,31.19637816
甜点, 闵行区,52,7.4,7.2,7,20,上海市,121.323153,31.19637816
甜点, 闵行区,90,7.1,7.2,6.8,24,上海市,121.323153,31.19637816
甜点, 闵行区,22,6.9,7.3,7,35,上海市,121.323153,31.19637816
咖啡厅, 闵行区,125,7.2,7.3,7.1,40,上海市,121.323153,31.19637816
快餐, 闵行区,153,5.8,6.3,6,53,上海市,121.323153,31.19637816
川菜, 闵行区,141,7.1,7.2,6.7,86,上海市,121.323153,31.19637816
粤菜, 闵行区,621,7.7,7.7,7.5,77,上海市,121.323153,31.19637816
快餐, 闵行区,149,7.9,8.3,8,59,上海市,121.323153,31.19637816
快餐, 闵行区,44,7.9,7.6,7.6,44,上海市,121.323153,31.19637816
快餐, 闵行区,72,6.2,6.7,6.4,49,上海市,121.323153,31.19637816
快餐, 长宁区,130,7.1,7.2,7.1,40,上海市,121.323153,31.19637816
快餐, 闵行区,38,7.1,7,6.9,34,上海市,121.323153,31.19637816
西餐, 闵行区,207,7.8,8.2,7.4,75,上海市,121.323153,31.19637816
咖啡厅, 闵行区,192,7.9,7.6,7.7,52,上海市,121.323153,31.19637816
咖啡厅, 闵行区,400,7.3,7.4,7.4,36,上海市,121.323153,31.19637816
咖啡厅, 闵行区,37,6.8,6.9,7,94,上海市,121.323153,31.19637816
快餐, 嘉定区,0,0,0,0,17,上海市,121.3231279,31.24379077
快餐, 嘉定区,18,7,7.1,6.7,10,上海市,121.323107,31.24377782
粤菜, 闵行区,5,7.5,7.5,7.5,31,上海市,121.3230063,31.21956922
快餐, 松江区,3,6.9,7,6.9,16,上海市,121.3229098,31.14661012
料理, 松江区,194,7.9,7.7,8.1,39,上海市,121.3228859,31.14645325
美食, 松江区,4,7.2,7.2,7.2,20,上海市,121.322876,31.14563071
西餐, 松江区,6,7.1,7.1,7.1,45,上海市,121.3227552,31.14587281
烧烤, 闵行区,13,7.5,7.3,7.3,30,上海市,121.3224298,31.22926377
浙菜, 松江区,2515,9,8.7,8.5,92,上海市,121.3223852,31.14469914
浙菜, 闵行区,57,6.7,6.8,6.8,64,上海市,121.322333,31.22937591
北菜, 松江区,15,6.8,6.9,6.9,38,上海市,121.3222504,31.13375026
快餐, 闵行区,0,0,0,0,15,上海市,121.3222103,31.22913226
快餐, 松江区,2,6.9,6.8,6.8,15,上海市,121.3221846,31.13387332
甜点, 嘉定区,33,8.2,8.1,8.1,17,上海市,121.3221094,31.24251131
粤菜, 松江区,144,7.2,7,7,46,上海市,121.3220552,31.15303737
常菜, 松江区,4,7.1,7,7.1,28,上海市,121.3220458,31.13406748
快餐, 青浦区,5,7.4,7.4,7.3,35,上海市,121.3219781,30.73372557
西餐, 闵行区,23,7.4,7.3,7.2,45,上海市,121.3218849,31.19598179
快餐, 松江区,6,7.5,7.5,7.5,11,上海市,121.3218782,31.13446459
甜点, 松江区,31,7,6.9,6.9,8,上海市,121.3218487,31.1297342
咖啡厅, 浦东新区,59,7.6,7.7,7.4,68,上海市,121.321837,31.19620777
西餐, 长宁区,0,0,0,0,25,上海市,121.3217642,31.19615893
咖啡厅, 闵行区,195,6.9,7.4,7.1,39,上海市,121.3217642,31.19615893
咖啡厅, 闵行区,59,7.4,7.3,7.3,39,上海市,121.3217642,31.19615893
美食, 嘉定区,0,0,0,0,11,上海市,121.3217488,31.2589037
快餐, 宝山区,9,7.1,7.1,7,17,上海市,121.3217309,31.4545653
甜点, 嘉定区,31,7.9,8.1,8.1,13,上海市,121.3217453,31.24140751
快餐, 松江区,25,6.9,6.5,6.7,30,上海市,121.3217315,31.13445088
浙菜, 嘉定区,1286,7.6,7.8,7.2,114,上海市,121.3217052,31.30102626
火锅, 嘉定区,891,8.7,8.5,8.5,116,上海市,121.3217052,31.30102626
火锅, 嘉定区,328,7.1,6.9,7.1,80,上海市,121.3217052,31.30102626
快餐, 嘉定区,48,7,7.1,7.1,18,上海市,121.3217052,31.30102626
快餐, 嘉定区,6,7.1,7.1,7.3,18,上海市,121.3217052,31.30102626
本菜, 嘉定区,17,7.4,7.5,7.4,26,上海市,121.3217052,31.30102626
咖啡厅, 嘉定区,40,8,8.2,8,43,上海市,121.3217052,31.30102626
甜点, 嘉定区,60,7.8,7.9,7.6,26,上海市,121.3217052,31.30102626
甜点, 嘉定区,181,7.6,7.8,7.7,86,上海市,121.3217052,31.30102626
甜点, 嘉定区,56,7.8,7.7,7.5,114,上海市,121.3217052,31.30102626
美食, 嘉定区,10,6.5,6.5,6.5,22,上海市,121.3217052,31.30102626
咖啡厅, 嘉定区,68,7.4,7.5,7.4,43,上海市,121.3217052,31.30102626
烧烤, 嘉定区,73,7.1,7.4,7.2,60,上海市,121.3217052,31.30102626
浙菜, 宝山区,52,7.8,7.4,7.5,59,上海市,121.3216888,31.46844555
北菜, 嘉定区,20,7.3,7.2,7.1,43,上海市,121.3216451,31.25795732
快餐, 嘉定区,22,7.3,7.2,7.2,18,上海市,121.3216325,31.30036866
快餐, 嘉定区,42,7,6.9,6.9,13,上海市,121.3216325,31.30036866
甜点, 嘉定区,47,7.7,8.2,7.9,17,上海市,121.3216306,31.24114485
咖啡厅, 闵行区,5,7.4,7.3,7.3,22,上海市,121.3216315,31.19555048
西餐, 嘉定区,257,8.4,8.9,8.5,120,上海市,121.3216161,31.30461603
烧烤, 嘉定区,1,6.9,6.9,6.9,35,上海市,121.3215981,31.24819873
快餐, 嘉定区,4,7.1,7.1,7.3,18,上海市,121.3215803,31.25771255
甜点, 松江区,40,7.1,7.1,7,13,上海市,121.3215853,31.12962276
快餐, 嘉定区,35,7.2,7.3,6.6,32,上海市,121.3215694,31.25672
火锅, 嘉定区,15,7,7.2,7.3,82,上海市,121.3215294,31.25749774
烧烤, 松江区,36,7.5,7.5,7.5,51,上海市,121.3215161,31.13413346
快餐, 嘉定区,206,8.1,8.1,7.6,29,上海市,121.3214799,31.24159493
川菜, 嘉定区,1,6.9,6.9,6.9,50,上海市,121.3214376,31.25755989
浙菜, 嘉定区,78,6.9,7,6.8,112,上海市,121.3214146,31.25782581
火锅, 嘉定区,93,6.5,6.3,6.2,65,上海市,121.3213708,31.24555235
快餐, 嘉定区,5,7.7,7.5,7.7,27,上海市,121.321273,31.25752622
火锅, 嘉定区,56,6.8,6.7,6.6,76,上海市,121.3212703,31.24292473
快餐, 嘉定区,7,6.4,6.4,6.4,13,上海市,121.321255,31.30432683
甜点, 嘉定区,1,6.9,6.9,6.9,11,上海市,121.3211923,31.25652481
浙菜, 松江区,8,7.7,7.7,7.7,160,上海市,121.3211415,31.10347695
火锅, 松江区,99,9.1,8.9,9.1,119,上海市,121.3211415,31.10347695
咖啡厅, 松江区,27,7.4,7.6,7.3,43,上海市,121.3211415,31.10347695
粤菜, 闵行区,89,7.7,8.1,7.6,156,上海市,121.3210804,31.22353504
浙菜, 嘉定区,194,8.3,8.2,8.1,89,上海市,121.3210696,31.25598029
火锅, 嘉定区,931,8.1,8.4,8.5,97,上海市,121.3210418,31.24243739
助餐, 嘉定区,16798,7.9,8.2,8,107,上海市,121.3210418,31.24243339
快餐, 嘉定区,56,7.4,7.3,7.4,32,上海市,121.3210298,31.30049477
快餐, 嘉定区,7,7.3,7,6.8,19,上海市,121.3210351,31.23956771
快餐, 嘉定区,73,7.4,7.2,7.3,15,上海市,121.3209822,31.23947585
快餐, 嘉定区,13,7.7,7.7,7.8,27,上海市,121.3209473,31.23949391
快餐, 嘉定区,19,6.9,6.9,7.1,15,上海市,121.3209443,31.23931599
西餐, 嘉定区,42,7.5,7.5,7.1,66,上海市,121.3209031,31.30109078
浙菜, 嘉定区,133,7.2,7.2,7.1,99,上海市,121.3208851,31.25527395
川菜, 嘉定区,48,7.7,7.4,7.7,32,上海市,121.3208658,31.24775033
快餐, 嘉定区,0,0,0,0,21,上海市,121.3208553,31.33435536
快餐, 嘉定区,102,7.6,7.5,7.3,28,上海市,121.3208532,31.30074301
快餐, 松江区,0,0,0,0,16,上海市,121.3206494,31.07131701
粤菜, 嘉定区,172,6.4,6.5,6.5,136,上海市,121.3205637,31.2916392
甜点, 嘉定区,385,8.1,8.1,8.2,15,上海市,121.320547,31.24151276
甜点, 嘉定区,20,7.4,7.4,7.4,22,上海市,121.3205391,31.24040028
火锅, 嘉定区,67,7.6,7.5,7.6,124,上海市,121.3204852,31.24077021
川菜, 嘉定区,5,7.7,7.7,7.7,28,上海市,121.3204665,31.23854526
快餐, 闵行区,197,7.2,7.2,7.2,31,上海市,121.3204661,31.1959885
快餐, 闵行区,28,7.3,7.2,7.4,39,上海市,121.3204661,31.1959885
甜点, 闵行区,9,6.7,6.8,7,78,上海市,121.3204492,31.19532886
湘菜, 嘉定区,21,6.9,6.9,6.9,78,上海市,121.3204294,31.24066537
川菜, 嘉定区,10,7.3,7.2,7.6,71,上海市,121.3203929,31.24742339
浙菜, 宝山区,57,7.6,7.3,7.5,79,上海市,121.3203498,31.469042
快餐, 嘉定区,21,7.4,7.1,7.1,9,上海市,121.3203534,31.24180899
西餐, 嘉定区,40,7,7,7.1,28,上海市,121.3203534,31.24180899
美食, 嘉定区,67,8.2,8.4,8.3,61,上海市,121.3203534,31.24180899
快餐, 松江区,8,7,6.8,6.9,16,上海市,121.3203237,31.15837389
川菜, 松江区,0,0,0,0,79,上海市,121.3202333,31.2350683
甜点, 闵行区,9,7.5,7.2,7.3,28,上海市,121.3202308,31.16012916
烧烤, 嘉定区,993,9,8.3,9.1,74,上海市,121.3201784,31.24726087
快餐, 闵行区,4,7.6,7.6,7.6,18,上海市,121.320152,31.15948764
北菜, 嘉定区,19,7.2,6.9,6.8,54,上海市,121.3201435,31.24723695
西菜, 嘉定区,31,7.3,7,7,64,上海市,121.3201294,31.23716354
快餐, 嘉定区,63,7.3,7.1,7.1,14,上海市,121.32012,31.24150158
快餐, 嘉定区,0,0,0,0,27,上海市,121.3200925,31.45604612
甜点, 松江区,9,7.4,7.2,7.2,15,上海市,121.3201149,31.13861074
火锅, 嘉定区,267,8.4,8.2,8.2,96,上海市,121.320096,31.24179549
快餐, 嘉定区,144,7.6,7.6,7.5,21,上海市,121.3200941,31.24065601
浙菜, 松江区,566,8.5,8.8,8.3,81,上海市,121.3200887,31.14074765
川菜, 松江区,609,8.4,8.2,8.1,82,上海市,121.3200887,31.14074765
川菜, 松江区,42,7.5,7.6,7.6,46,上海市,121.3200887,31.14074765
川菜, 松江区,86,7.4,7.6,7.5,102,上海市,121.3200887,31.14074765
粤菜, 松江区,133,7,7.8,7.1,76,上海市,121.3200887,31.14074765
火锅, 松江区,651,8.4,8.5,8.1,123,上海市,121.3200887,31.14074765
快餐, 松江区,118,7.7,7.9,7.8,33,上海市,121.3200887,31.14074765
快餐, 松江区,54,7.5,7.8,7.2,33,上海市,121.3200887,31.14074765
快餐, 松江区,85,7.1,7.2,7,42,上海市,121.3200887,31.14074765
快餐, 松江区,26,7.1,7.4,7.2,23,上海市,121.3200887,31.14074765
快餐, 松江区,13,7.4,7.3,7.3,23,上海市,121.3200887,31.14074765
料理, 松江区,273,7.2,7.6,7.5,99,上海市,121.3200887,31.14074765
西餐, 松江区,112,7.7,8,7.5,76,上海市,121.3200887,31.14074765
西餐, 松江区,64,7.6,7.7,7.6,39,上海市,121.3200887,31.14074765
甜点, 松江区,42,7.1,7.4,7.3,26,上海市,121.3200887,31.14074765
甜点, 松江区,45,6.9,7.1,7,18,上海市,121.3200887,31.14074765
甜点, 松江区,23,7.4,7.4,7.4,20,上海市,121.3200887,31.14074765
甜点, 松江区,33,7.5,7.5,7.5,13,上海市,121.3200887,31.14074765
咖啡厅, 松江区,23,7.4,7.5,7.5,36,上海市,121.3200887,31.14074765
快餐, 嘉定区,1,7.3,7.3,7.3,27,上海市,121.3199838,31.31757119
甜点, 嘉定区,91,7.7,8,7.9,15,上海市,121.3199414,31.24136199
浙菜, 嘉定区,7,7.7,7.6,7.6,56,上海市,121.319917,31.24731634
浙菜, 嘉定区,1008,8.2,8.4,8.4,91,上海市,121.3198935,31.24127212
助餐, 嘉定区,16,6.6,6.3,6.4,53,上海市,121.3198935,31.24127212
海鲜, 嘉定区,910,7.6,7.9,7.5,80,上海市,121.3198935,31.24127212
湘菜, 松江区,179,7,6.5,6.6,69,上海市,121.3199002,31.15210799
西餐, 嘉定区,5,7.5,7.2,7.2,15,上海市,121.319847,31.23763886
浙菜, 松江区,32,7.6,7.6,7.6,85,上海市,121.3198462,31.11800142
火锅, 松江区,68,7.4,7.5,7.4,56,上海市,121.3198482,31.09463936
快餐, 松江区,45,7.1,7.2,6.9,34,上海市,121.3198482,31.09463936
快餐, 松江区,63,6.1,6.3,6.1,18,上海市,121.3198482,31.09463936
本菜, 松江区,56,7,7.1,6.9,39,上海市,121.3198482,31.09463936
西餐, 松江区,180,7.5,7.5,7.6,27,上海市,121.3198482,31.09463936
甜点, 松江区,20,7.1,7.1,7,10,上海市,121.3198482,31.09463936
甜点, 松江区,37,7.4,7.5,7.4,21,上海市,121.3198482,31.09463936
甜点, 松江区,2,6.9,6.9,6.9,14,上海市,121.3198482,31.09463936
美食, 松江区,276,7.8,8.4,7.4,109,上海市,121.3198482,31.09463936
美食, 松江区,111,6.8,7.1,7.1,24,上海市,121.3198482,31.09463936
咖啡厅, 松江区,20,7.5,7.5,7.5,36,上海市,121.3198482,31.09463936
咖啡厅, 松江区,66,7.3,7.3,7.3,44,上海市,121.3198183,31.09485729
火锅, 嘉定区,628,8,7.4,7.8,89,上海市,121.3198017,31.24143022
烧烤, 嘉定区,145,8.7,8.2,8.9,113,上海市,121.3198017,31.24143022
甜点, 嘉定区,497,7.7,7.8,7.6,44,上海市,121.3197787,31.24237784
甜点, 嘉定区,36,7.4,7.4,7.1,25,上海市,121.319689,31.24157937
火锅, 嘉定区,20,7.4,7,6.7,82,上海市,121.3196746,31.24691799
