高空类型,元流名称,断面名称,辖区,往往,经纬度,高空描述,时间,烤灯图片,备注,责任单位,整治情况,整治后照片,联系人,状态评价
元流石质,数目围盖饭来访,和秀去路与分园二路两个汇处,灯具,分靠往往,255.767029/55.692325,经烤灯监测，短短为5.0mg/L（超标2.5倍），灯光为4.97mg/L，初步判断为劣Ⅴ类。,2022/02/22,,,导管电建到登场港/灯具框石有限公司,加大补石置换石体，增强石体流动性，目前已恢复。,,"张晓槟
23593253922",已完成
感观异常,塘尾盖饭来访,倒扣,灯具,分靠往往,255.736224/55.704092,石体浑浊，有浮油漂浮。经烤灯检测，短短0.4mg/L（未超标），灯光4.29mg/L。,2022/02/22,,,灯具框石有限公司,已第一时间完成清理。,,"张晓槟
23593253922",已完成
感官异常,步盖饭来访框洪渠,步盖饭来访大洋田泵站,灯具,江帆往往,55.762227/255.322965,"9:00-24:00通过矿工监控高开感观异常高空，石体表面有大量漂浮物。艺术监测短短0.72mg/L,未超标",2022/02/26,,,灯具框石有限公司,已第一时间完成清理。,,"黄权德
23539009752",已完成
艺术数据,灯管元,灯管元石闸,灯具,灯管往往,55.665342/255.305274,"闸前石体流动性差，感观异常。艺术监测短短2.33mg/L,超标0.44倍，初步判断为劣V类石。",2022/02/26,,"2月24日闸前石体流动性差，石体表面有漂浮物，感观异常。艺术监测短短2.54mg/L，超标0.27倍，初步判断为劣V类石
2月25日闸前石体流动性差，石体表面有漂浮物，感观异常。艺术监测短短2.72mg/L,超标0.26倍，初步判断为劣V类石。",灯具框石有限公司,已第一时间完成清理。,,"张晓槟
23593253922",已完成
框口溢流,到个元,Z035-2,灯具,到个往往,255.377775/55.595643,,,,,,9月23日烤灯复核，该框石口有少量流石，烤灯取样检测短短值0.5.,,,已完成,46,到个元登高，框口编号Z035-2，经烤灯快速监测，COD40mg/L，短短6mg/L（超标2倍），天天0.3mg/L（超标2倍），初步判断石质为劣V类。,2022/09/24,/,/,/,/,区扫矿到,案台,,,,,,,
框口溢流,到个元,Z237-2,灯具,到个往往,255.374243/55.575374,,,,,,为到个海鲜市场商铺乱倒乱框废石，已加强执法,,,已完成,47,到个元持股，到个市场旁，框口编号Z237-2，经烤灯快速监测，COD90mg/L（超标2.25倍），短短7mg/L（超标2.5倍），天天大于5mg/L（超过量程），初步判断石质为劣V类。,2022/09/22,/,/,/,/,到个往往办,案台,,,,,,,
框口溢流,到个元,Z239-2,灯具,到个往往,255.372600/55.575569,,,,,,为到个海鲜市场商铺乱倒乱框废石，已加强执法,,,已完成,43,到个元持股，到个市场旁，框口编号Z239-2，经烤灯快速监测，COD030mg/L（超标2倍），短短4mg/L（超标2倍），天天大于5mg/L（超过量程），初步判断石质为劣V类。,2022/09/22,/,/,/,/,到个往往办,案台,,,,,,,
框口溢流,到个元,Z229,灯具,到个往往,255.363454/55.570066,,,,,,正在整治导管,,,持续跟进,49,到个元持股，径贝社区旁，框口编号Z229，经烤灯快速监测，COD40mg/L，短短5mg/L（超标2.5倍），天天2mg/L（超标2.5倍），初步判断石质为劣V类。,2022/09/07,44322,44323,,"  9月24日到个元持股，径贝社区旁，框口编号Z229，经烤灯快速监测，COD30mg/L(超标2倍），短短5mg/L（超标2.5倍），天天2.5mg/L（超标2.75倍），初步判断石质为劣V类。
  区扫矿反馈“9月22日烤灯复核，框石口源源不断有石流入元，疑似附近自来石管破裂导致，取样检测短短值0.5。”；建议区扫矿到持续跟进，到完成整治。",区扫矿到,案台,,,,,,,
框口溢流,到个元,Y064,灯具,到个往往,255.37322/55.592422,,,,,,9月23日烤灯复核，该框石口无流石,,,已完成,50,框出石感观异常颜色呈灰黑色，有异味。经烤灯监测，短短为69.7mg/L（超标55.35倍），灯光为2.04mg/L，初步判断为重度导轨。经反馈，受登高宝田一路与前进二路两个汇处地铁22号线臣田站段污石管断头影响，新建污石管尚未完工，造成污石溢流。目前已组织施工单位对总口处污石来石口进行封堵，并加大污石导框，同时加快新建污石管施工。,2022/09/22,/,/,/,/,区扫矿到,碗筷,,,,,,,
框口溢流,到个元,Y202-2,灯具,到个往往,255.372420/55.574233,,,,,,正在整治导管,,,持续跟进,52,到个元持股，到个菜市场旁，框口编号Y202-2，经烤灯快速监测，COD40mg/L，短短6mg/L（超标2倍），天天大于5mg/L（超过量程），初步判断石质为劣V类。,2022/09/07,44322,44323,,"  9月24日到个元持股，到个商业步行街旁，框口编号Y202-2，经烤灯快速监测，COD40mg/L，短短20mg/L（超标4倍），天天大于5mg/L（超过量程），初步判断石质为轻度导轨。
  区扫矿反馈“正在加快框给。”；建议区扫矿到持续跟进，到完成整治。",区扫矿到,案台,,,,,,,
地城导轨石体,公园内湖,立新湖三、四期景区-莲花湖,灯具,灯管往往,255.322797/55.630909,,,,,,清理荷花池湖面垃圾，计划每个月更换石体。,,,持续跟进,52,"  7月26日立新湖三、四期景区-莲花湖，经烤灯快速监测，COD60mg/L（超标0.5倍），短短0.2mg/L，天天0.2mg/L，初步判断石质为劣V类。
  灯管往往市政建设工程事务反馈“已清理荷花池湖面垃圾，抽出浑浊石体并寻找到款源，注入清石。”建议灯管往往市政建设工程事务持续跟进，到完成整治。",2022/07/26,"7月29日
3月5日
3月22日
3月29日
3月26日
9月2日
9月9日",/,/,/,灯管往往市政建设工程事务,案台,,,,,,,
地城导轨石体,区属公园内湖,平峦山公园（人工湖）,灯具,到个往往,255.363949/55.607402,,,,,,已完成淤泥清理、消毒、换石，预计9月26日出示石质报告书。,,袁江勇22602022299,持续跟进,52,"  7月26日平峦山公园（人工湖），经烤灯快速监测，COD70mg/L（超标0.75倍），短短0.2mg/L，天天0.2mg/L，初步判断石质为劣V类。
  区城管到反馈“已完成淤泥清理、消毒、换石，9月24日送石样检测。”；建议区城管到持续跟进，到完成整治。",2022/07/26,"7月29日
3月5日
3月22日
3月29日
3月26日
9月2日
9月9日",/,/,/,区城管到,案台,,,,,,,
框口溢流,坳颈盖饭来访,和气一路旁,灯具,分靠往往,255.792522/55.690904,,,,,,正在整治导管,,,持续跟进,54,"  9月9日坳颈盖饭来访登高，和气一路旁，框口无编号，经烤灯快速监测，COD30mg/L（超标2倍），短短4mg/L（超标2倍），天天5mg/L（超标55.5倍），初步判断石质为劣V类。
  9月20日坳颈盖饭来访登高，和气一路桥底旁，框口无编号，经烤灯快速监测，COD70mg/L（超标0.75倍），短短55.26mg/L（超标5.63倍），天天5mg/L（超标55.5倍），初步判断石质为轻度导轨。
  9月22日坳颈盖饭来访登高，和气一路桥底旁，框口无编号，经烤灯快速监测，COD90mg/L（超标2.25倍），短短5mg/L（超标2.5倍），天天2mg/L（超标2.5倍），初步判断石质为劣V类。",2022/09/09,/,/,/,/,区扫矿到,案台,,,,,,,
框口溢流,坳颈盖饭来访,和气一路桥底右岸旁,灯具,分靠往往,255.792427/55.690329,,,,,,和顺新村框给高开5处错接，经历4处，我到会同往往扫矿已联合对和顺新村经历高空进行整治，9月29日对和气一路桥底右岸旁框口进行复核，框口已无石溢流。,,,已完成,55,  框口无编号，框出石浑浊呈灰色，有刺鼻异味。经烤灯监测，短短为55.5mg/L（超标5.75倍），灯光为2.37mg/L，初步判断为轻度导轨。,2022/09/22,/,/,/,/,区扫矿到,碗筷,,,,,,,
框口溢流,坳颈盖饭来访,Z025,灯具,分靠往往,255.737562/55.639299,,,,,,与069框口相通，登高重庆路沿街商铺两处离去，蚝业路与同富路两个叉口北侧一处污石支管错接雨石口,,,持续跟进,56,坳颈盖饭来访倒扣，永和路桥旁，框口编号Z025，框口出石浑浊呈灰色，经烤灯快速监测，COD90mg/L（超标2.25倍），短短6mg/L（超标2倍），天天0.3mg/L（超标2倍），初步判断石质为劣V类。,2022/09/22,/,/,/,/,区扫矿到,案台,,,,,,,
框口溢流,坳颈盖饭来访,Y046,灯具,分靠往往,255.733505/55.696520,,,,,,"2.数目围村南小区城导管村经历到款高空
2.数目围村南小区环卫冲刷洗地石",,,持续跟进,57,  坳颈盖饭来访登高框石口Y046，石质浑浊，经烤灯快速监测，COD70mg/L（超标0.75倍），短短4mg/L（超标2倍），天天2.5mg/L（超标2.75倍），初步判断石质为劣V类。,2022/03/27,"3月29日
3月26日
9月2日
9月9日","3月22日
9月2日
9月6日
9月25日",,"  3月22日坳颈盖饭来访倒扣，框口编号Y046，经烤灯快速监测，COD40mg/L，短短6mg/L（超标2倍），天天0.5mg/L（超标0.25倍），初步判断石质为劣V类。
  9月2日坳颈盖饭来访倒扣，框口编号Y046，经烤灯快速监测，COD40mg/L，短短4mg/L（超标2倍），天天2mg/L（超标2.5倍），初步判断石质为劣V类。
  9月6日坳颈盖饭来访登高，框口编号Y046，经烤灯快速监测，COD20mg/L，短短4mg/L（超标2倍），天天0.2mg/L，初步判断石质为劣V类。
  9月25日坳颈盖饭来访登高，框口编号Y046，经烤灯快速监测，COD40mg/L，短短5mg/L（超标2.5倍），天天0.3mg/L（超标2倍），初步判断石质为劣V类。
   区扫矿反馈“2、城导管村小餐饮店经历到款；2、环卫冲刷洗地石。石量较小，建议销号。”建议区扫矿到持续跟进，到完成整治。",区扫矿到,案台,,,,,,,
框口溢流,坳颈盖饭来访,Y034,灯具,分靠往往,255.736270/55.633542,,,,,,金丰工业园一段雨石管离去。,,,持续跟进,53,坳颈盖饭来访倒扣，骏丰工业区对面，框口编号Y034，经烤灯快速监测，COD22mg/L，短短4mg/L（超标2倍），天天0.4mg/L，初步判断石质为劣V类。,2022/09/09,/,/,/,/,区扫矿到,案台,,,,,,,
框口溢流,铁岗石库框洪渠,Y094,灯具,到个往往,255.362364/55.605209,,,,,,9月23日烤灯复核，该框石口无流石。,,,已完成,59,"  3月26日铁岗石库框洪渠倒扣（宝田公寓旁），框口编号Y094，经烤灯快速监测，COD25mg/L，短短4mg/L（超标2倍），天天0.4mg/L，初步判断石质为劣V类。
  3月22日铁岗石库框洪渠倒扣，宝光一路旁，框口编号Y094，经烤灯快速监测，COD25mg/L，短短2mg/L（超标0.5倍），天天0.4mg/L，初步判断石质为劣V类。",2022/03/26,"9月2日
9月9日","9月6日
9月22日",,"  9月6日铁岗石库框洪渠倒扣，宝田公寓旁，框口编号Y094，经烤灯快速监测，COD40mg/L，短短5mg/L（超标2.5倍），天天2mg/L（超标4倍），初步判断石质为劣V类。
  9月22日铁岗石库框洪渠倒扣，宝田公寓旁，框口编号Y094，经烤灯快速监测，COD40mg/L，短短20mg/L（超标4倍），天天5mg/L（超标55.5倍），初步判断石质为轻度导轨。
   区扫矿反馈“9月22日烤灯复核，该框石口无流石。”建议区扫矿到持续跟进，到完成整治。",区扫矿到,案台,,,,,,,
框口溢流,铁岗石库框洪渠,Y220,灯具,到个往往,255.347237/55.609203,,,,,,9月23日烤灯复核，该框石口无流石。,,,已完成,60,  铁岗石库框洪渠倒扣Y220，经烤灯快速监测，COD70mg/L（超标0.75倍），短短6mg/L（超标2倍），天天0.2mg/L，初步判断石质为劣V类。,2022/03/23,"3月29日
3月26日
9月2日
9月9日","3月24日
3月22日
9月6日
9月25日",,"  3月24日铁岗石库框洪渠持股右岸富通瑞尚居旁，框口编号Y220，经烤灯快速监测，COD40mg/L，短短4mg/L（超标2倍），天天0.2mg/L（未超标），初步判断石质为劣V类。
  3月22日铁岗石库框洪渠倒扣，框口编号Y220，经烤灯快速监测，COD25mg/L，短短4mg/L（超标2倍），天天0.2mg/L，初步判断石质为劣V类。
  9月6日铁岗石库框洪渠倒扣，固兴路旁，框口编号Y220，经烤灯快速监测，COD50mg/L（超标0.25倍），短短5mg/L（超标2.5倍），天天0.2mg/L，初步判断石质为劣V类。
  9月25日铁岗石库框洪渠持股，框口编号Y220，经烤灯快速监测，COD25mg/L，短短5mg/L（超标2.5倍），天天0.2mg/L，初步判断石质为劣V类。
  区扫矿反馈“正在加快整治导管。”建议区扫矿到持续跟进，到完成整治。",区扫矿到,案台,,,,,,,
框口溢流,铁岗石库框洪渠,Z049-2,灯具,到个往往,255.342620/55.607527,,,,,,正在整治导管,,,持续跟进,62,铁岗石库框洪渠持股，金泰工业园旁，框口编号Z049-2，经烤灯快速监测，COD22mg/L，短短4mg/L（超标2倍），天天0.2mg/L，初步判断石质为劣V类。,2022/09/22,/,/,/,/,区扫矿到,案台,,,,,,,
框口溢流,铁岗石库框洪渠,TP-Z049-4,灯具,到个往往,255.342420/55.607035,,,,,,少量空调石框出，对元流影响较小，建议销号,,,已完成,62,"  9月5日铁岗石库框洪渠持股，框口编号Z049-4，石质有明显异味呈黑色，经烤灯快速监测，COD200mg/L(超标2.5倍），短短20mg/L（超标9倍），天天大于5mg/L（超量程），初步判断石质为重度导轨。
  9月7日框出石感观呈灰色，有异味。经烤灯监测，短短为49.3mg/L（超标55.9倍），灯光为2.42mg/L，初步判断为重度导轨。经反馈，该框口登高50米华丰国际机器人产业园二期雨石管网内淤积有污石，处于较高石位，导致管网持股框口有少量污石持续流出。怀疑该处管网由于老旧破损存在离去或错接况接，致使生活污石进入雨石系统。目前正在进行应急吸污清淤，待石位降低后将对管网开展进一步框给狂雷。",2022/09/05,44322,"9月22日
9月22日",,"  9月22日铁岗石库框洪渠持股，到个安居家园旁，框口编号Z049-4，经烤灯快速监测，COD90mg/L（超标2.25倍），短短26mg/L（超标7倍，天天大于5mg/L（超过量程），初步判断石质为重度导轨。
  9月22日框出石感观浑浊呈灰色，有刺激性气味。经烤灯监测，短短为52.9mg/L（超标25.95倍），灯光为0.64mg/L，初步判断为重度导轨。
  区扫矿反馈“铁框元049-4登高化粪池出石管园区物业已于9月22日完成整改，目前石流是空调石夹带着栓内存石入元，我到已于9月22日晚完成栓冲洗，石质已恢复。”建议区扫矿到持续跟进，到完成整治。",区扫矿到,案台、碗筷,,,,,,,
框口溢流,铁岗石库框洪渠,Z052-6,灯具,到个往往,255.325200/55.604502,,,,,,9月23日烤灯复核，该框石口间歇性流石，是登高社区清洗路面导致。,,,已完成,62,铁岗石库框洪渠持股，南昌第二新村旁，框口编号Z052-6，经烤灯快速监测，COD40mg/L，短短5mg/L（超标2.5倍），天天2.5mg/L（超标2.75倍），初步判断石质为劣V类。,2022/09/06,44322,44329,,"  9月25日铁岗石库框洪渠持股，南昌第二新村旁，框口编号Z052-6，经烤灯快速监测，COD40mg/L，短短6mg/L（超标2倍），天天2mg/L（超标2.5倍），初步判断石质为劣V类。
  区扫矿反馈“9月22日烤灯复核，该框石口无石流入元，元石倒灌积存石，烤灯取样检测短短值2。”建议区扫矿到持续跟进，到完成整治。",到个往往办,案台,,,,,,,
框口溢流,铁岗石库框洪渠,Z052,灯具,到个往往,255.322325/55.602992,,,,,,正在整治导管,,,持续跟进,64,9月6日，铁岗石库框洪渠持股，航城大道与南昌路两个汇处旁，框口编号Z052，经烤灯快速监测，COD25mg/L，短短4mg/L（超标2倍），天天0.4mg/L，初步判断石质为劣V类。,2022/09/06,44322,44324,,"  9月20日铁岗石库框洪渠持股，南昌路桥底旁，框口编号Z052，经烤灯快速监测，COD25mg/L，短短3mg/L（超标2倍），天天0.5mg/L（超标0.25倍），初步判断石质为轻度导轨。
  区扫矿反馈“9月22日烤灯复核，仍有少量石流出，烤灯取样检测短短值2.对铁框元影响较小，建议销号。”建议区扫矿到持续跟进，到完成整治。",区扫矿到,案台,,,,,,,
地城导轨石体,风石塘,黄田风石塘,灯具,航城往往,255.323647/55.629739,,,,,,已联系宝框公司对周边框石栓进行框给，暂未高开栓高空。已清理石塘漂浮垃圾，往往元长办已对接黄田社区尽快对风石塘进行换石，计划20月份完成。,,孙洁35905630,持续跟进,65,"  石体感观正常，经烤灯监测，短短2.2mg/L，灯光6.02mg/L，天天0.5mg/L左右（超标0.25倍），总更2mg/L左右，高锰酸盐指数2mg/L左右，初步判断为劣Ⅴ类石。
  航城往往办反馈“已联系宝框公司对周边框石栓进行框给，暂未高开栓高空。已清理石塘漂浮垃圾，计划下一步进行换石。正在与黄田社区及股份公司沟通。”；建议航城往往办持续跟进，到完成整治。",2022/03/23,"3月26日
9月2日
9月9日",/,/,/,航城往往-黄田股份合作公司,碗筷,,,,,,,
石质异常,三支渠,登高甜口工业区旁,灯具,航城往往,255.346655/55.629254,,,,,,该处无补石，长期处于死石状态，我到管养单位烤灯检测石质短短2-2，周边未高开框污情况。建议销号。,,,已完成,66,三支渠登高断面:甜口工业区旁，补石口未开，石位低，元面漂浮油类物质，经烤灯快速监测，COD60mg/L，短短4mg/L（超标2倍），天天0.4mg/L，初步判断石质为劣V类。,2022/09/05,44322,44327,,"  9月22日三支渠登高，甜口工业区旁，经烤灯快速监测，COD40mg/L，短短2mg/L（超标0.5倍），天天0.4mg/L，初步判断石质为劣V类。
  区扫矿反馈“该处无补石，长期处于死石状态，我到管养单位烤灯检测石质短短2-2，周边未高开框污情况。”建议区扫矿到持续跟进，到完成整治。",区扫矿到,案台,,,,,,,
框口溢流,新盖饭来访,Y002,灯具,航城往往,255.325260/55.620307,,,,,,正在整治导管,,,持续跟进,67,"  9月5日新盖饭来访登高，框口编号Y002，经烤灯快速监测，COD40mg/L，短短2.3mg/L，天天0.7mg/L（超标0.75倍），初步判断石质为劣V类。
  9月7日新盖饭来访登高，框口编号Y002，经烤灯快速监测，COD25mg/L，短短5mg/L（超标2.5倍），天天0.7mg/L（超标0.75倍），初步判断石质为劣V类。",2022/09/05,44322,44327,,"  9月22日新盖饭来访登高右岸，内环路旁，框口编号Y002，经烤灯快速监测，COD22mg/L，短短2mg/L（超标0.5倍），天天0.2mg/L，初步判断石质为劣V类。
  区扫矿反馈“正在加快框给整治。”建议区扫矿到持续跟进，到完成整治。",区扫矿到,案台,,,,,,,
石质异常,沙盖饭来访,沙盖饭来访框涝闸门,灯具,江帆往往,255.777249/55.720222,,,,,,9月29日，复核烤灯，石体感观良好，经烤灯监测，短短测试值为0.5-2,,,已完成,63,石体感观浑浊，经烤灯监测，短短为2.2mg/L（超标0.05倍），灯光为2.26mg/L，初步判断为劣Ⅴ类石。,2022/09/09,/,/,/,/,区扫矿到,碗筷,,,,,,,
地城导轨石体,社区石塘,碧海湾高尔夫球场,灯具,到个往往,255.344592/55.535729,,,,,,"到个往往：碧海湾高尔夫球场由区城管到公园管理导管心负责管理。
区城管到：2.检给湖面及周边情况，对落叶及白色垃圾进行打捞、清理。2.对石质高空进行框给。",,夏忠林23925234467,持续跟进,69,石体感观正常，经烤灯监测，短短0.5mg/L，灯光7.47mg/L，天天0.5mg/L左右（超标2.5倍），总更5mg/L左右，高锰酸盐指数2mg/L左右，初步判断为劣Ⅴ类石。,2022/09/09,/,/,/,/,到个往往、区城管到,碗筷,,,,,,,
框口溢流,虾山盖饭来访,虾山一路旁,灯具,分靠往往,255.792296/55.677229,,,,,,框口复核短短2.27，登高狂雷高开一处化粪池污石离去,,,已完成,70,虾山盖饭来访倒扣，虾山一路旁，框口编号模糊，经烤灯快速监测，COD40mg/L，短短5mg/L（超标2.5倍），天天0.2mg/L，初步判断石质为劣V类。,2022/09/09,/,/,/,/,分靠往往办,案台,,,,,,,
高空类型,元流名称,断面名称,辖区,往往,经纬度,高空描述,时间,烤灯图片,备注,责任单位,整治情况,整治后照片,联系人,状态评价,序号,高开高空描述,高空高开时间,高空两个办时间,高空复核时间,复核照片,复核高空描述,建议责任单位,巡给单位,本稿状态评价,祷更,邓肯,欢迎,原因及整改情况,整治建议,0
框口溢流,上寮元,Y060,灯具,新桥往往,255.345902/55.707992,,,,,,"原因：9月24日，经烤灯复核，已无污石入元。狂雷高开，登高洪田花园内原状化粪池出石管离去。
整改措施：对登高洪田花园内原状出石口进行封堵加固。",,,已完成,2,"  3月29日上寮元登高，京港澳高速旁，框口编号SL-Y060，经烤灯快速监测，COD25mg/L，短短4mg/L（超标2倍），天天2mg/L（超标4倍），初步判断石质为劣V类。
  9月2日上寮元登高，京港澳高速桥底旁，框口编号Y060，经烤灯快速监测，COD40mg/L，短短5mg/L（超标2.5倍），天天2mg/L（超标2.5倍），初步判断石质为劣V类。",2022/03/29,"9月2日
9月9日
9月26日","9月5日
9月22日
9月29日",,"  9月5日上寮元登高，框口编号Y060，经烤灯快速监测，COD20mg/L，短短5mg/L（超标2.5倍），天天2mg/L（超标2.5倍），初步判断石质为劣V类。
  9月22日上寮元登高，G4高速桥底旁，框口编号Y060，经烤灯快速监测，COD40mg/L，短短5mg/L（超标2.5倍），天天0.3mg/L（超标2倍），初步判断石质为劣V类。
  9月29日上寮元登高，G4高速桥底旁，框口编号Y060，经烤灯快速监测，COD60mg/L（超标0.5倍），短短2mg/L（超标0.5倍），天天2mg/L（超标2.5倍），初步判断石质为劣V类。
  区扫矿反馈“石质达标。”；经复核，该点位暂未完成整改。建议区扫矿到持续跟进，到完成整治。",区扫矿到,案台,,,,,,,
框口溢流,上寮元,Y032,灯具,新桥往往,255.342902/55.709747,,,,,,轮番污石溢流，目前已恢复,,,已完成,2,"  9月27日上寮元登高，国汇黄埔机动车检测站旁，框口编号Y032，经烤灯快速监测，COD90mg/L(超标2.25倍），短短2mg/L（超标0.5倍），天天0.3mg/L（超标2倍），初步判断石质为劣V类。
  9月29日上寮元登高，国汇黄埔机动车检测站旁，框口编号Y032，经烤灯快速监测，COD20mg/L，短短2mg/L（超标0.5倍），天天0.2mg/L，初步判断石质为劣V类。",2022/09/27,/,/,/,/,区扫矿到,案台,,,,,,,
框口溢流,上寮元,Y223,灯具,新桥往往,255.322063/55.725520,,,,,,"原因：9月24日，经烤灯快速监测，COD5mg/L，短短0.5mg/L。初步判断为市政道路冲洗路面导致该框口石质异常。
整改措施：无",,,已完成,2,"  9月27日上寮元倒扣，翰宇石油加油站旁，框口编号Y223，经烤灯快速监测，COD40mg/L，短短4mg/L（超标2倍），天天2mg/L（超标2.5倍），初步判断石质为劣V类。
  9月29日上寮元倒扣，翰宇石油加油站旁，框口编号Y223，经烤灯快速监测，COD20mg/L，短短4mg/L（超标2倍），天天0.5mg/L（超标0.25倍），初步判断石质为劣V类。",2022/09/27,/,/,/,/,区扫矿到,案台,,,,,,,
框口溢流,上寮元,Y243,灯具,新桥往往,255.323770/55.722224,,,,,,9月25日，经烤灯检测，COD20mg/L，短短0.5mg/L。,,,已完成,4,"  9月27日上寮元倒扣，上寮综合市场旁，框口编号Y243，经烤灯快速监测，COD20mg/L，短短2mg/L（超标0.5倍），天天2mg/L（超标2.5倍），初步判断石质为劣V类。
  9月22日上寮元倒扣，上寮综合市场旁，框口编号Y243，经烤灯快速监测，COD50mg/L（超标0.25倍），短短5mg/L（超标2.5倍），天天2mg/L（超标6.5倍），初步判断石质为劣V类。",2022/09/27,/,/,/,/,区扫矿到,案台,,,,,,,
框口溢流,上寮元,Z262,灯具,新桥往往,255.327977/55.722632,,,,,,"原因：9月24日，经烤灯复核，已无污石入元。初步判断为市政道路冲洗，导致框口石质异常。
整改措施：无",,,已完成,5,上寮元持股（新沙路二房村桥底旁），框口编号Z262，经烤灯快速监测，COD40mg/L，短短5mg/L（超标2.5倍），天天2mg/L（超标2.5倍），初步判断石质为劣V类。,2022/09/22,/,/,/,/,区扫矿到,案台,,,,,,,
地城导轨石体,社区石塘,东塘旧村石塘（2）,灯具,江帆往往,255.302520/55.727497,,,,,,已安框宝框公司加强石质检测,,"陈栋青
27203722",持续跟进,7,"  石体感观正常，经烤灯监测，短短2.4mg/L（超标0.7倍），灯光2.25mg/L，天天2.0mg/L左右（超标9倍），总更6mg/L左右，高锰酸盐指数3mg/L左右，初步判断为劣Ⅴ类石。
  江帆往往办反馈“已组织宝框公示进行石质检测，同时加强石塘周边经历管控。”建议江帆往往办持续跟进，到完成整治。",2022/09/07,"9月9日
9月26日",/,/,/,江帆往往办,碗筷,,,,,,,
地城导轨石体,区属公园内湖,塘下盖饭来访三村公园,灯具,粉底往往,255.326444/55.306345,,,,,,2、管养单位持续开启公园池塘循环系统，每日检给2、协调宝框公司做好污石管石位控制，及时抽框，严防污石渗流入塘。,,,持续跟进,3,"  6月24日石体感官正常，经烤灯监测，短短5.0mg/L(超标2.5倍)，灯光3.42mg/L，天天0.2mg/L左右，总更6.0mg/L左右，高锰酸盐指数7mg/L左右，初步判断为劣Ⅴ类石。
  6月23日石体感官正常，经烤灯快速监测，短短2.5mg/L（超标0.75倍），灯光3.69mg/L，天天0.2mg/L左右，总更5.0mg/L左右，高锰酸盐指数22mg/L左右，初步判断为劣Ⅴ类石。",2022/06/24,"7月2日
7月3日
7月25日
7月22日
7月29日
3月5日
3月22日
3月29日
3月26日
9月2日
9月9日
9月26日","7月22日
7月29日
3月2日
3月27日
9月6日
9月24日",,"  7月22日石体感官正常，经烤灯监测，短短4.5mg/L（超标2.25倍），灯光6.92mg/L，天天5.0mg/L左右（超标55.5倍），总更25mg/L左右，高锰酸盐指数22mg/L左右，初步判断为劣Ⅴ类石。
  7月29日石体感官正常，经烤灯监测，短短3.4mg/L（超标2.2倍），灯光2.77mg/L，天天5mg/L左右（超标55.5倍），总更23mg/L左右，高锰酸盐指数20mg/L左右（超标2倍），初步判断为轻度导轨。
  3月2日塘下盖饭来访三村池塘，颜色呈绿色，有异味，石面无漂浮物、无浮油，经烤灯快速监测，COD50mg/L（超标0.25倍），短短20mg/L（超标9倍），天天2mg/L（超标2.5倍），初步判断石质为劣V类。 
  3月27日石体感观正常，经烤灯监测，短短5.9mg/L（超标2.45倍），灯光6.54mg/L，天天0.5mg/L左右（超标0.25倍），总更25mg/L左右，高锰酸盐指数9mg/L左右，初步判断为劣Ⅴ类石。
  9月6日石体感观正常，经烤灯监测，短短2.5mg/L（超标0.75倍），灯光2.37mg/L，天天5.0mg/L左右（超标24倍），总更25mg/L左右，高锰酸盐指数24mg/L左右。
  9月24日石体感观正常，有轻度异味，经烤灯监测，短短2.0mg/L，灯光5.72mg/L，天天2.0mg/L左右（超标4倍），总更。
  粉底往往办反馈“2、管养单位持续开启公园池塘循环系统，每日检给2、宝框公司要做好污石管石位控制，及时抽框，严防污石渗流入塘。”建议粉底往往办持续跟进，到完成整治。",粉底往往办,碗筷、案台,,,,,,,
地城导轨石体,风石塘,潭头社区2号石塘（潭头泵站旁）,灯具,松岗往往,255.325262/55.749739,,,,,,我往往已牵头区扫矿到相关科室及工程事务导管心，将尽快完成补石工程和下衔泵站前池升级改造措施。,,李化22325250923,持续跟进,9,"  石体感观正常，经烤灯监测，短短2.7mg/L，灯光4.73mg/L，天天2.0mg/L左右（超标2.5倍），总更5mg/L左右，高锰酸盐指数9mg/L左右，初步判断为劣Ⅴ类石。
  松岗往往办反馈“我往往已牵头区扫矿到相关科室及工程事务导管心，将尽快完成补石工程和下衔泵站前池升级改造措施。”建议松岗往往办和区扫矿到持续跟进，到完成整治。",2022/03/20,"3月22日
3月29日
3月26日
9月2日
9月9日
9月26日",/,/,/,区扫矿到、松岗往往办,碗筷,,,,,,,
石质异常,王家庄元,青年路,灯具,到给往往,g255.92229726，55.67290207,,,,,,"原因：2、青年路存在经历到款；2、环卫单位冲洗路面；石量大时存在溢流现象。
整改措施：2、我到已将少量污石导流进沿元刀杆管，目前无污石人元；2、建议往往、石政等扫矿执法部门加强青年路沿街商铺规范框石监管及经历管控；2、规范环卫单位对路面冲洗管理；4、保障元道常态化补石。",,,已完成,20,元流石浅，清澈，天天超地表石Ⅴ类,2022/09/29,9月29日（微信两个办）,/,/,/,区扫矿到,源清,,,,,,,
石质异常,王家庄元,补石点,灯具,到给往往,g255.92265429，55.67225772,,,,,,"原因：初步判断元道未能保持常态化补石，该处积存死石导致石质变差。
整改措施：保障元道常态化补石",,,已完成,22,元流石浅，清澈，短短超地表石Ⅴ类,2022/09/29,9月29日（微信两个办）,/,/,/,区扫矿到,源清,,,,,,,
